producto,marca,formato,cantidad,precio,supermercado
Nuez natural  pelada,Hacendado,Paquete,200 g,"2,00 €",Mercadona
Almendra natural,Hacendado,Paquete,200 g,"2,05 €",Mercadona
Pistacho tostado  con sal,Hacendado,Paquete,250 g,"3,35 €",Mercadona
Pipas girasol tostadas  gigante con sal,Hacendado,Paquete,200 g,"1,20 €",Mercadona
Pistacho tostado  0% sal añadida,Hacendado,Paquete,250 g,"3,35 €",Mercadona
Cacahuete frito con sal  pelado,Belnut,Paquete,250 g,"1,05 €",Mercadona
Pipas girasol tostadas  gigante aguasal,Hacendado,Paquete,200 g,"1,20 €",Mercadona
Anacardo natural,Hacendado,Paquete,200 g,"2,30 €",Mercadona
Palomitas de maíz con sal  para microondas,Hacendado,Paquete,3 ud. (270 g),"1,10 €",Mercadona
Anacardo frito salado,Hacendado,Paquete,200 g,"2,40 €",Mercadona
Avellana tostada  0% sal añadida,Hacendado,Paquete,200 g,"3,10 €",Mercadona
Almendra tostada y salada  con piel,Hacendado,Paquete,200 g,"2,80 €",Mercadona
Cacahuete frito y salado  con piel,Hacendado,Paquete,250 g,"1,30 €",Mercadona
Maíz frito crujiente y tierno,Hacendado,Paquete,170 g,"1,00 €",Mercadona
Almendra frita y salada  pelada,Hacendado,Paquete,200 g,"2,55 €",Mercadona
Cacahuete tostado  0% sal añadida,Hacendado,Paquete,400 g,"1,55 €",Mercadona
Almendra tostada  0% sal añadida con piel,Hacendado,Paquete,200 g,"2,80 €",Mercadona
Maíz palomitas,Hacendado,Paquete,250 g,"0,82 €",Mercadona
Maíz frito gigante,Hacendado,Paquete,150 g,"1,40 €",Mercadona
Nuez macadamia  tostada con sal,Hacendado,Paquete,100 g,"2,65 €",Mercadona
Mezcla semillas,Hacendado,Paquete,200 g,"1,40 €",Mercadona
Pipas de calabaza natural  peladas,Hacendado,Paquete,150 g,"1,63 €",Mercadona
Castañas cocidas y peladas,Hacendado,Paquete,100 g,"1,40 €",Mercadona
Cacahuete frito con miel,Hacendado,Paquete,200 g,"1,65 €",Mercadona
Cacahuete tostado con sal,Hacendado,Paquete,400 g,"1,55 €",Mercadona
Semillas de chía,Hacendado,Paquete,150 g,"1,35 €",Mercadona
Pipas de girasol fritas  peladas,Hacendado,Paquete,200 g,"1,10 €",Mercadona
Almendra marcona  frita con sal,Hacendado,Paquete,125 g,"2,85 €",Mercadona
Palomitas de maíz sabor mantequilla  para microondas,Hacendado,Paquete,3 ud. (270 g),"1,35 €",Mercadona
Almendra natural  sin piel,Hacendado,Paquete,200 g,"2,35 €",Mercadona
Avellana natural,Hacendado,Paquete,200 g,"2,70 €",Mercadona
Semillas sésamo tostado,Hacendado,Paquete,150 g,"1,50 €",Mercadona
Pipas girasol barbacoa,Hacendado,Paquete,200 g,"1,35 €",Mercadona
Pipas girasol naturales  peladas,Hacendado,Paquete,200 g,"1,20 €",Mercadona
Semillas lino dorado,Hacendado,Paquete,150 g,"1,20 €",Mercadona
Nuez natural,Hacendado,Paquete,600 g,"3,25 €",Mercadona
Pipas calabaza tostadas  aguasal,Hacendado,Paquete,125 g,"1,55 €",Mercadona
Pipas girasol tostadas  0% sal añadida,Hacendado,Paquete,200 g,"1,50 €",Mercadona
Nuez de Brasil natural,Hacendado,Paquete,200 g,"2,90 €",Mercadona
Pistacho natural  pelado,Hacendado,Paquete,100 g,"2,64 €",Mercadona
Nuez Pecana natural  pelada,Hacendado,Paquete,200 g,"3,56 €",Mercadona
Palomitas de maíz dulces  para microondas,Hacendado,Paquete,3 ud. (315 g),"1,70 €",Mercadona
Cacahuete tostado  pelado 0% sal añadida,Hacendado,Paquete,200 g,"1,25 €",Mercadona
Cacahuete +Proteínas en polvo desgrasado  14 g proteínas 70% reducido en grasa,Hacendado,Paquete,200 g,"2,75 €",Mercadona
Nuez natural troceada,Hacendado,Paquete,150 g,"1,35 €",Mercadona
Haba frita con sal,Hacendado,Paquete,100 g,"1,30 €",Mercadona
Cocktail mezcla,Hacendado,Paquete,300 g,"1,60 €",Mercadona
"Combinado frutos secos, frutas desecadas y semillas de calabaza",Hacendado,Paquete,200 g,"2,20 €",Mercadona
Cocktail crunchy sabores,Hacendado,Paquete,200 g,"1,85 €",Mercadona
Cocktail rodeo,Hacendado,Paquete,250 g,"1,65 €",Mercadona
Cocktail natural,Hacendado,Paquete,200 g,"2,40 €",Mercadona
Cocktail tostado 0% sal añadida,Hacendado,Paquete,200 g,"2,50 €",Mercadona
Cocktail tostado y ahumado,Hacendado,Paquete,200 g,"2,50 €",Mercadona
Cocktail fruta deshidratada,Hacendado,Paquete,200 g,"1,60 €",Mercadona
Cocktail rumba,Hacendado,Paquete,300 g,"1,60 €",Mercadona
Pasas sultanas sin semillas,Hacendado,Paquete,250 g,"1,35 €",Mercadona
Pasas moscatel sin semillas,Hacendado,Paquete,250 g,"1,70 €",Mercadona
Mango deshidratado,Hacendado,Paquete,60 g,"1,35 €",Mercadona
Ciruelas desecadas sin hueso,Fundo Sofruco,Paquete,250 g,"2,10 €",Mercadona
Dátiles desecados sin hueso,Hacendado,Paquete,350 g,"2,20 €",Mercadona
Arándanos deshidratados,Hacendado,Paquete,200 g,"2,40 €",Mercadona
Piña deshidratada,Hacendado,Paquete,50 g,"1,25 €",Mercadona
Orejones albaricoque,Hacendado,Paquete,200 g,"2,60 €",Mercadona
Dátiles en rama,Hacendado,Caja,400 g,"3,10 €",Mercadona
Dátiles Medjoul con hueso,Hacendado,Bandeja,215 g,"3,85 €",Mercadona
