producto,marca,formato,cantidad,precio,supermercado
Golosinas Xuxes Top Ten,Hacendado,Paquete,20 ud. (135 g),"1,25 €",Mercadona
Golosinas Moras,Hacendado,Paquete,200 g,"1,10 €",Mercadona
Golosinas Fruit Mix,Hacendado,Paquete,250 g,"1,10 €",Mercadona
Golosinas Nubi Mallow,Hacendado,Paquete,150 g,"0,95 €",Mercadona
Caramelo Pikotas masticable,Dulciora,Paquete,100 g,"1,45 €",Mercadona
Golosinas tubos de fresa  rellenos,Hacendado,Caja,320 g,"1,75 €",Mercadona
Golosinas Boca Fruit,Hacendado,Paquete,200 g,"1,20 €",Mercadona
Grageas de regaliz,Hacendado,Paquete,150 g,"1,45 €",Mercadona
Golosinas Pulpis Mix con pica,Hacendado,Paquete,300 g,"1,60 €",Mercadona
Surtido de caramelos Diver Xuxes,Hacendado,Paquete,300 g,"2,15 €",Mercadona
Golosinas Rega Relli  rellena con zumo de fruta,Hacendado,Paquete,150 g,"1,00 €",Mercadona
Golosinas Dentaduras,Hacendado,Paquete,100 g,"1,15 €",Mercadona
Golosinas Mix,Hacendado,Paquete,300 g,"1,60 €",Mercadona
Golosinas Rega Black Mix,Hacendado,Paquete,300 g,"1,60 €",Mercadona
Golosinas Fresi Pink Mix,Hacendado,Paquete,300 g,"1,60 €",Mercadona
Golosinas ladrillos con pica  sabor fresa y nata ácida,Hacendado,Paquete,200 g,"1,10 €",Mercadona
Golosinas Cintas de fresa con pica,Hacendado,Caja,300 g,"1,75 €",Mercadona
Golosinas Mix azúcar,Hacendado,Paquete,300 g,"1,60 €",Mercadona
"Golosinas Rega Red Mix  sabor fresa, nata y tutti frutti",Hacendado,Paquete,300 g,"1,60 €",Mercadona
Golosinas Mix con pica,Hacendado,Paquete,300 g,"1,60 €",Mercadona
Surtido de caramelos Ácidos pintalenguas  sabor frambuesa y cola,Hacendado,Paquete,200 g,"1,85 €",Mercadona
Golosinas Rega Fruit Mix,Hacendado,Paquete,300 g,"1,60 €",Mercadona
Cono de golosinas celebración,Hacendado,Paquete,"84,3 g","1,25 €",Mercadona
