producto,marca,formato,cantidad,precio,supermercado
Gel corporal infantil,Deliplus,Bote,600 ml,"2,30 €",Mercadona
Champú infantil,Deliplus,Bote,600 ml,"2,70 €",Mercadona
Gel - champú bebé para pieles atópicas,Deliplus,Bote,600 ml,"3,70 €",Mercadona
Pomada del pañal sin perfume,Deliplus,Tubo,100 ml,"2,75 €",Mercadona
Aceite corporal bebé con aloe vera,Johnson's,Botella,500 ml,"3,70 €",Mercadona
Loción corporal infantil hidratante,Deliplus,Bote,600 ml,"3,65 €",Mercadona
Bálsamo facial corporal infantil pieles atópicas,Deliplus,Bote,200 ml,"4,40 €",Mercadona
Agua de colonia bebé,Nenuco,Botella,500 ml,"2,85 €",Mercadona
Agua de colonia fresca infantil  con notas cítricas,Deliplus,Bote,600 ml,"1,80 €",Mercadona
Agua perfumada bebé con notas florales,Deliplus,Bote,100 ml,"3,20 €",Mercadona
"Solución fisiológica salina 0,9 %",Deliplus,Caja,30 ud.,"3,23 €",Mercadona
Gasas para bebé no tejidas,Deliplus,Paquete,100 ud.,"1,97 €",Mercadona
Esponja anatómica para bebés,Deliplus,Paquete,1 ud.,"0,90 €",Mercadona
Aspirador nasal anatómico +0 meses,Deliplus,Paquete,1 ud.,"5,50 €",Mercadona
Recambios recarga aspirador nasal anatómico,Deliplus,Paquete,10 ud.,"4,20 €",Mercadona
Polvos de talco,Deliplus,Bote,200 g,"1,70 €",Mercadona
Bastoncillos algodón para bebés,Deliplus,Caja,60 ud.,"1,05 €",Mercadona
