producto,marca,formato,cantidad,precio,supermercado
Huevos frescos categoría A clase L,Huevos Garrido,Caja,12 unidades,"2,26 €",Dia
Huevos frescos categoría A clase M,Huevos Garrido,Caja,12 unidades,"2,02 €",Dia
Huevos frescos categoría A clase XL,Huevos Garrido,Caja,6 unidades,"1,69 €",Dia
Huevos frescos categoría A clase M,Huevos Garrido,Caja,24 unidades,"3,80 €",Dia
Huevos frescos categoría A clase L,Dia,Bandeja,12 unidades,"2,26 €",Dia
Huevos frescos categoría A clase M,La receta,Bandeja,24 unidades,"3,80 €",Dia
Huevos frescos categoría A clase M,Dia,Bandeja,12 unidades,"2,02 €",Dia
Huevos camperos categoría A clase M/L,La receta,Bandeja,10 unidades,"2,49 €",Dia
Huevos frescos de gallinas criadas en suelo categoría A clase M/L,La receta,Bandeja,12 unidades,"2,49 €",Dia
Huevos frescos maíz categoría A clase M/L,Grupo de lucas,Caja,12 unidades,"2,85 €",Dia
Huevos ecológicos categoría A clase M/L,La receta,Bandeja,6 unidades,"2,49 €",Dia
Huevos de codorniz,Grupo de lucas,Bandeja,12 unidades,"1,54 €",Dia
Claras de huevo pasteurizadas,Ovonatur,Botella,500 ml,"1,95 €",Dia
