producto,marca,formato,cantidad,precio,supermercado
Bebida isotónica limón,Aquarius,Botella,"1,5 L","1,99 €",Mercadona
Bebida isotónica limón,Aquarius,Lata,8 latas x 330 ml,"6,80 €",Mercadona
Bebida isotónica limón,Aquarius,Lata,330 ml,"0,89 €",Mercadona
Bebida isotónica sabor cítrico,Iso drink,Botella,"1,5 L","1,00 €",Mercadona
Bebida isotónica sabor cítrico,Iso drink,Lata,6 latas x 330 ml,"2,70 €",Mercadona
Bebida isotónica sabor cítrico,Iso drink,Lata,330 ml,"0,45 €",Mercadona
Bebida isotónica naranja,Aquarius,Botella,"1,5 L","1,99 €",Mercadona
Bebida isotónica naranja,Aquarius,Lata,8 latas x 330 ml,"6,80 €",Mercadona
Bebida isotónica naranja,Aquarius,Lata,330 ml,"0,89 €",Mercadona
Bebida isotónica limón  zero azúcar,Aquarius,Botella,"1,5 L","1,99 €",Mercadona
Bebida isotónica de naranja,Iso drink,Botella,"1,5 L","1,00 €",Mercadona
Bebida isotónica de naranja,Iso drink,Lata,6 latas x 330 ml,"2,70 €",Mercadona
Bebida isotónica de naranja,Iso drink,Lata,330 ml,"0,45 €",Mercadona
Bebida isotónica Iso On blue,Hacendado,Botella,"1,5 L","1,55 €",Mercadona
Bebida isotónica Iso On blue,Hacendado,Botella,500 ml,"0,60 €",Mercadona
Bebida isotónica azul,Powerade,Botella,500 ml,"1,45 €",Mercadona
Bebida energética Energy Drink Zero,Hacendado,Lata,6 latas x 250 ml,"2,40 €",Mercadona
Bebida energética Zero,Hacendado,Lata,250 ml,"0,40 €",Mercadona
Bebida energética Energy Ultra zero,Monster,Lata,4 latas x 500 ml,"6,68 €",Mercadona
Bebida energética Energy Ultra zero,Monster,Lata,500 ml,"1,79 €",Mercadona
Bebida energética energy,Monster,Lata,4 latas x 500 ml,"5,60 €",Mercadona
Bebida energética Energy,Monster,Lata,500 ml,"1,45 €",Mercadona
Bebida energética Energy Drink,Hacendado,Botella,"1,5 L","1,60 €",Mercadona
Bebida energética Energy Drink,Hacendado,Lata,6 latas x 250 ml,"2,40 €",Mercadona
Bebida energética Energy Drink,Hacendado,Lata,250 ml,"0,40 €",Mercadona
Bebida energética,Red Bull,Lata,4 latas x 250 ml,"4,60 €",Mercadona
Bebida energética,Red Bull,Lata,250 ml,"1,59 €",Mercadona
Bebida energética original,Burn,Lata,4 latas x 500 ml,"3,80 €",Mercadona
Bebida energética original,Burn,Lata,500 ml,"1,00 €",Mercadona
Gel energético con cafeína  sabor cítricos,Enervit Sport,Lata,3 ud. x 32 g,"3,60 €",Mercadona
Bebida energética Mango,Loco Monster,Lata,4 latas x 500 ml,"6,68 €",Mercadona
Bebida energética Mango,Loco Monster,Lata,500 ml,"1,79 €",Mercadona
Bebida energética Furious,Energy drink,Lata,500 ml,"1,00 €",Mercadona
Bebida energética Tropic,Energy drink,Lata,500 ml,"1,00 €",Mercadona
Malta Maltín,Polar,Lata,6 botellines x 250 ml,"7,00 €",Mercadona
Malta Maltín,Polar,Botellín,250 ml,"1,25 €",Mercadona
Bebida energética zero Watermelon,Energy drink,Lata,500 ml,"1,00 €",Mercadona
