producto,marca,formato,cantidad,precio,supermercado
Leche entera,Dia Láctea,Brik,6 x 1 l,"5,46 €",Dia
Leche semidesnatada,Dia Láctea,Brik,6 x 1 l,"4,98 €",Dia
Leche desnatada,Dia Láctea,Brik,6 x 1 l,"4,80 €",Dia
Leche entera,Central Lechera Asturiana,Brik,6 x 1 l,"6,84 €",Dia
Leche semidesnatada,Central Lechera Asturiana,Brik,6 x 1 l,"6,84 €",Dia
Leche desnatada,Central Lechera Asturiana,Brik,6 x 1 l,"6,84 €",Dia
Leche entera,Pascual,Brik,6 x 1 l,"7,80 €",Dia
Leche semidesnatada sin lactosa,Dia Láctea,Brik,6 x 1 l,"5,46 €",Dia
Leche desnatada sin lactosa,Dia Láctea,Brik,6 x 1 l,"5,28 €",Dia
Leche semidesnatada,Dia Láctea,Brik,1 l,"0,83 €",Dia
Leche entera,Dia Láctea,Brik,1 l,"0,91 €",Dia
Leche semidesnatada sin lactosa,Dia Láctea,Brik,1 l,"0,91 €",Dia
Leche desnatada,Dia Láctea,Brik,1 l,"0,80 €",Dia
Leche entera sin lactosa,Dia Láctea,Brik,6 x 1 l,"5,94 €",Dia
Leche semidesnatada,Central Lechera Asturiana,Botella,6 x 2.2 l,"14,64 €",Dia
Leche semidesnatada calcio,Dia Láctea,Brik,1 l,"0,96 €",Dia
Leche fresca entera,Dia Láctea,Botella,1 l,"1,05 €",Dia
Leche entera,Central Lechera Asturiana,Botella,6 x 1.5 l,"10,68 €",Dia
Leche desnatada calcio,Dia Láctea,Brik,1 l,"0,93 €",Dia
Leche entera mini,Dia Láctea,Brik,3 x 200 ml,"0,79 €",Dia
Leche semidesnatada sin lactosa,Central Lechera Asturiana,Brik,6 x 1 l,"7,80 €",Dia
Leche desnatada,Central Lechera Asturiana,Botella,6 x 1.5 l,"10,68 €",Dia
Leche desnatada,Central Lechera Asturiana,Botella,1.5 l,"1,78 €",Dia
Leche entera,Central Lechera Asturiana,Botella,1.5 l,"1,78 €",Dia
Leche desnatada,Pascual,Brik,6 x 1 l,"7,80 €",Dia
Leche desnatada,Pascual,Brik,1 l,"1,30 €",Dia
Leche semidesnatada,Pascual,Brik,6 x 1 l,"7,80 €",Dia
Leche semidesnatada,Pascual,Brik,1 l,"1,30 €",Dia
Leche entera,Pascual,Brik,1 l,"1,30 €",Dia
