producto,marca,formato,cantidad,precio,supermercado
Garbanzo cocido,Hacendado,Tarro,570 g (400 g escurrido),"0,71 €",Mercadona
Garbanzo cocido,Hacendado,Tarro,295 g (210 g escurrido),"0,65 €",Mercadona
Garbanzo,Hacendado,Paquete,1 kg,"2,15 €",Mercadona
Garbanzo pedrosillano,Hacendado,Paquete,1 kg,"1,95 €",Mercadona
Garbanzo lechoso andaluz,Hacendado,Paquete,1 kg,"2,65 €",Mercadona
Garbanzo cocido lechoso andaluz,Hacendado,Tarro,570 g (400 g escurrido),"1,15 €",Mercadona
Alubia cocida blanca,Hacendado,Tarro,570 g (400 g escurrido),"0,70 €",Mercadona
Alubia cocida blanca,Hacendado,Tarro,295 g (210 g escurrido),"0,65 €",Mercadona
Alubia cocida roja,Hacendado,Tarro,570 g (400 g escurrido),"1,10 €",Mercadona
Alubia cocida pinta,Hacendado,Tarro,570 g (400 g escurrido),"1,15 €",Mercadona
Alubia blanca,Hacendado,Paquete,1 kg,"2,00 €",Mercadona
Alubia negra,Hacendado,Paquete,1 kg,"2,40 €",Mercadona
Alubia roja,Hacendado,Paquete,1 kg,"2,65 €",Mercadona
Alubia cocida granja,Hacendado,Tarro,570 g (350 g escurrido),"1,65 €",Mercadona
Alubia pinta,Hacendado,Paquete,1 kg,"2,30 €",Mercadona
Alubia granja,Hacendado,Paquete,500 g,"3,10 €",Mercadona
Lenteja pardina,Hacendado,Paquete,1 kg,"2,10 €",Mercadona
Lenteja cocida,Hacendado,Tarro,570 g (400 g escurrido),"0,80 €",Mercadona
Lenteja cocida,Hacendado,Tarro,295 g (210 g escurrido),"0,70 €",Mercadona
Soja texturizada grano fino,Hacendado,Paquete,250 g,"2,25 €",Mercadona
Lenteja,Hacendado,Paquete,1 kg,"1,95 €",Mercadona
