producto,marca,formato,cantidad,precio,supermercado
Mantequilla sin sal,Dia Láctea,Unidad,250 g,"1,90 €",Dia
Mantequilla con sal,Dia Láctea,Unidad,250 g,"1,90 €",Dia
Mantequilla tradicional,Central Lechera Asturiana,Tarrina,250 g,"3,55 €",Dia
Mantequilla ligera fácil de untar,Central Lechera Asturiana,Tarrina,250 g,"3,65 €",Dia
Margarina,Tulipán,Tarrina,400 g,"2,85 €",Dia
Margarina vitaminada con sal,Diasol,Tarrina,500 g,"1,55 €",Dia
Margarina ligera,Diasol,Tarrina,500 g,"1,49 €",Dia
Margarina vitaminada,Diasol,Tarrina,500 g,"1,55 €",Dia
Margarina con sal,Tulipán,Tarrina,400 g,"2,85 €",Dia
Mantequilla con sal,Dia Láctea,Tarrina,250 g,"2,45 €",Dia
Margarina rica en omega,Flora,Tarrina,3   400 g,"2,95 €",Dia
Margarina,Natacha,Tarrina,450 g,"1,49 €",Dia
Margarina con un toque de aceite de oliva,Flora,Tarrina,225 g,"1,99 €",Dia
Margarina,Proactiv,Tarrina,225 g,"2,95 €",Dia
Mantequilla ligera sin lactosa,Central Lechera Asturiana,Tarrina,250 g,"3,65 €",Dia
Mantequilla tradicional con sal,Central Lechera Asturiana,Tarrina,250 g,"3,55 €",Dia
Mantequilla tradicional,Central Lechera Asturiana,En rulo,500 g,"6,15 €",Dia
