producto,marca,formato,cantidad,precio,supermercado
Mayonesa,Hacendado,Tarro,500 ml,"1,25 €",Mercadona
Mayonesa,Hacendado,Tarro,240 ml,"0,95 €",Mercadona
Mayonesa,Hacendado,Bote,460 ml,"1,35 €",Mercadona
Mayonesa en sobres individuales,Hacendado,Sobres,12 sobres x 20 ml,"1,25 €",Mercadona
Mayonesa,Hellmann's,Tarro,450 ml,"3,25 €",Mercadona
Mayonesa,Hellmann's,Tarro,225 ml,"1,95 €",Mercadona
Salsa ligera,Ligeresa,Tarro,425 ml,"2,25 €",Mercadona
Salsa ligera,Ligeresa,Tarro,210 ml,"1,35 €",Mercadona
Salsa ligera,Ligeresa,Bote,430 ml,"2,65 €",Mercadona
Mayonesa,Ybarra,Bote,500 ml,"2,25 €",Mercadona
Mayonesa,Musa,Tarro,540 ml,"2,45 €",Mercadona
Salsa ligera,Hacendado,Tarro,500 ml,"1,20 €",Mercadona
Salsa ligera,Hacendado,Bote,460 ml,"1,25 €",Mercadona
Ketchup,Hacendado,Bote,600 g,"1,30 €",Mercadona
Ketchup  en sobres individuales,Hacendado,Paquete,12 sobres (240 g),"1,40 €",Mercadona
Ketchup,Heinz,Bote,650 g,"3,50 €",Mercadona
Ketchup zero azúcares añadidos,Hacendado,Bote,600 g,"1,60 €",Mercadona
Mostaza a la antigua,Hacendado,Tarro,200 g,"1,70 €",Mercadona
Mostaza de Dijon,Hacendado,Tarro,200 g,"1,25 €",Mercadona
Mostaza clásica,Hacendado,Bote,388 g,"1,35 €",Mercadona
Allioli,Chovi,Tarrina,180 ml,"1,35 €",Mercadona
Allioli,Hacendado,Tarrina,200 ml,"1,10 €",Mercadona
Allioli en sobres individuales,Hacendado,Paquete,8 sobres (160 ml),"1,50 €",Mercadona
