producto,marca,formato,cantidad,precio,supermercado
Mejillones en escabeche,Mari Marinera,Lata,3 x 43 g,"2,29 €",Dia
Mejillones en escabeche,Ribeira,Lata,3 x 43 g,"2,00 €",Dia
Mejillones en escabeche,Isabel,Lata,3 x 43 g,"3,39 €",Dia
Mejillones en escabeche,Mari Marinera,Lata,13/18 piezas   69 g,"1,79 €",Dia
Mejillones en escabeche,Calvo,Lata,13/18 piezas   69 g,"2,35 €",Dia
Mejillones al natural,Mari Marinera,Lata,14/18 piezas   69 g,"1,79 €",Dia
Mejillones en escabeche,Isabel,Lata,8/12 piezas   69 g,"3,79 €",Dia
Mejillones picantes,Isabel,Lata,13/18 piezas   69 g,"2,25 €",Dia
Mejillones en escabeche,Dani,Lata,97 g,"1,59 €",Dia
Mejillones en salsa gallega,Cuca,Lata,50 g,"2,79 €",Dia
Mejillones en escabeche,Isabel,Lata,13/18 piezas   69 g,"2,25 €",Dia
Mejillones en salsa vieira,Isabel,Lata,13/18 piezas   69 g,"2,25 €",Dia
Mejillones en escabeche pequeños,Isabel,Lata,69 g,"1,65 €",Dia
Mejillones en escabeche,Ribeira,Lata,13/18 piezas   69 g,"2,00 €",Dia
Mejillones en escabeche,Frinsa,Lata,12/16 piezas   69 g,"4,69 €",Dia
Mejillones al natural,Isabel,Lata,69 g,"2,25 €",Dia
Mejillones de Chile en salsa vieira,Mari Marinera,Lata,13/18 piezas   69 g,"1,45 €",Dia
Mejillones de Chile en escabeche picante,Mari Marinera,Lata,14/18 piezas   69 g,"1,45 €",Dia
