producto,marca,formato,cantidad,precio,supermercado
Mermelada de fresa,Hacendado,Tarro,400 g,"1,55 €",Mercadona
Mermelada de fresa monodosis,Hacendado,Pack,10 ud. x 25 g,"1,50 €",Mercadona
Mermelada de tomate,Hacendado,Tarro,440 g,"1,95 €",Mercadona
Mermelada de arándanos,Hacendado,Tarro,330 g,"1,95 €",Mercadona
Mermelada de melocotón,Hacendado,Tarro,440 g,"1,55 €",Mercadona
Mermelada de melocotón monodosis,Hacendado,Pack,10 ud. x 25 g,"1,50 €",Mercadona
Mermelada de fresa,Hero,Tarro,350 g,"2,60 €",Mercadona
Mermelada de melocotón,Hero,Tarro,350 g,"2,60 €",Mercadona
Mermelada de naranja amarga,Hacendado,Tarro,440 g,"1,35 €",Mercadona
Mermelada de albaricoque,Hacendado,Tarro,440 g,"1,70 €",Mercadona
Mermelada de higo,Hacendado,Tarro,340 g,"1,95 €",Mercadona
Untable de pimiento de piquillo confitado,Hacendado,Tarro,230 g,"2,40 €",Mercadona
Mermelada de ciruela y kiwi,Hacendado,Tarro,340 g,"1,70 €",Mercadona
Mermelada de frambuesa,Hacendado,Tarro,340 g,"2,55 €",Mercadona
Miel de flores,Hacendado,Tarro,1 kg,"4,55 €",Mercadona
Miel de flores,Hacendado,Bote,500 g,"3,20 €",Mercadona
Miel de naranjo,Hacendado,Bote,500 g,"3,85 €",Mercadona
Miel de caña de azúcar,Nuestra Señora del Carmen,Tarro,300 g,"2,40 €",Mercadona
Cebolla caramelizada,Hacendado,Tarro,190 g,"1,70 €",Mercadona
Confitura de fresa  0% azúcares añadidos,Hacendado,Tarro,380 g,"1,60 €",Mercadona
Confitura de melocotón  0% azúcares añadidos,Hacendado,Tarro,380 g,"1,60 €",Mercadona
Confitura de ciruela  0% azúcares añadidos,Hacendado,Tarro,380 g,"1,70 €",Mercadona
