producto,marca,formato,cantidad,precio,supermercado
Nata para cocinar culinaria ,Dia láctea,Brik,3 x 200 ml,"1,85 €",Dia
Leche evaporada sin lactosa,Ideal,Brik,525 g,"2,79 €",Dia
Nata para cocinar,Dia Láctea,Brik,  500 ml,"1,45 €",Dia
Leche evaporada,Ideal,Brik,525 g,"2,29 €",Dia
Nata para montar ,Dia láctea,Brik,3 x 200 ml,"2,19 €",Dia
Nata en   bote,Dia Láctea,Spray,250 g,"1,69 €",Dia
Nata para cocinar,Central Lechera Asturiana,Brik,500 ml,"2,75 €",Dia
Nata montada azucarada,Central Lechera Asturiana,Spray,250 g,"2,75 €",Dia
Leche evaporada,Ideal,Brik,525 g,"2,29 €",Dia
Nata para montar,Central Lechera Asturiana,Brik,500 ml,"2,75 €",Dia
Nata para cocinar,Puleva,Brik,200 ml,"1,66 €",Dia
Leche evaporada sin lactosa,Ideal,Brik,525 g,"2,79 €",Dia
Nata para montar,Central Lechera Asturiana,Brik,1 l,"4,75 €",Dia
