producto,marca,formato,cantidad,precio,supermercado
Melva en aceite de oliva,Mari Marinera,Lata,85 g,"2,15 €",Dia
Trozos de calamar en salsa americana,Lamberti,Lata,3 x 51 g,"2,00 €",Dia
Trozos de calamar en su tinta,Lamberti,Lata,3 x 51 g,"2,00 €",Dia
Zamburiña en salsa vieira,Galica,Lata,63 g,"2,20 €",Dia
Almejón natural,Galica,Lata,63 g,"1,45 €",Dia
Tacos de potón al ajillo,Mari Marinera,Lata,72 g,"1,29 €",Dia
Calamares en su tinta,Albo,Lata,72 g,"2,59 €",Dia
Ensalada mediterránea de atún,Al Punto,Lata,150 g,"1,25 €",Dia
Maravillas de mar al ajillo,Mari Marinera,Lata,50 g,"1,45 €",Dia
Chipirones rellenos en salsa americana,Lamberti,Lata,72 g,"2,45 €",Dia
Trozos de calamares en salsa americana,Albo,Lata,72 g,"2,59 €",Dia
Ensalada milanesa de atún,Al Punto,Lata,150 g,"1,25 €",Dia
Almejas al natural,Dani,Lata,63 g,"2,45 €",Dia
Chipirones rellenos en su tinta,Lamberti,Lata,72 g,"2,45 €",Dia
Almejas blancas del norte al natural,Dani,Lata,90 g,"2,29 €",Dia
Navajuelas al natural,Mari Marinera,Lata,63 g,"2,30 €",Dia
Tacos de potón en salsa marinera,Mari Marinera,Lata,72 g,"1,29 €",Dia
Calamar en su tinta,Calvo,Lata,3 x 48 g,"2,95 €",Dia
Ensalada de pasta,Al Punto,Lata,160 g,"1,79 €",Dia
Ensaladilla rusa,Al Punto,Lata,160 g,"1,89 €",Dia
Calamares en salsa americana,Cabo de Peñas,Lata,3 x 59 g,"2,49 €",Dia
Salmón al natural,Dani,Lata,3 x 50 g,"3,25 €",Dia
Concha fina al natural,Ubago,Lata,55 g,"2,39 €",Dia
Navajuelas al natural,Dani,Lata,63 g,"2,95 €",Dia
Navajas al natural,Cabo de Hornos,Lata,63 g,"2,59 €",Dia
Melva en aceite de oliva,Ubago,Lata,85 g,"2,85 €",Dia
Melva en aceite de girasol,Ubago,Lata,85 g,"2,59 €",Dia
