producto,marca,formato,cantidad,precio,supermercado
Tomate frito,Hacendado,Brick,3 bricks x 400 g,"1,40 €",Mercadona
Tomate frito,Hacendado,Brick,3 mini bricks x 210 g,"1,00 €",Mercadona
Tomate frito,Hacendado,Tarro,560 g,"0,85 €",Mercadona
Tomate frito receta artesana,Hacendado,Tarro,560 g,"2,40 €",Mercadona
Tomate frito receta artesana,Hacendado,Tarro,300 g,"1,65 €",Mercadona
Tomate frito,Hida,Bote,400 g,"1,75 €",Mercadona
Tomate frito estilo casero,Hacendado,Brick,380 g,"1,30 €",Mercadona
Tomate frito  con aceite de oliva,Hacendado,Brick,3 mini bricks x 210 g,"1,40 €",Mercadona
Tomate frito sin azúcares añadidos,Hacendado,Tarro,560 g,"1,10 €",Mercadona
Salsa barbacoa,Hacendado,Bote,350 g,"1,15 €",Mercadona
Salsa pimienta verde,Hacendado,Sobre,50 g,"1,25 €",Mercadona
Salsa burger,Hacendado,Bote,250 ml,"1,35 €",Mercadona
Salsa estilo argentino,Hacendado,Bote,300 g,"1,50 €",Mercadona
Salsa Piri Piri,Hacendado,Botella,195 ml,"1,00 €",Mercadona
Salsa curry Tikka Masala  picante,Hacendado,Paquete,180 g,"2,00 €",Mercadona
Salsa pesto con albahaca,Hacendado,Tarro,190 g,"2,10 €",Mercadona
Salsa de tomate boloñesa,Hacendado,Tarro,290 g,"1,55 €",Mercadona
Salsa de tomate Basilico con albahaca,Hacendado,Tarro,290 g,"1,40 €",Mercadona
Salsa fresca Trufa,Hacendado,Paquete,140 g,"1,45 €",Mercadona
Salsa fresca Queso,Hacendado,Paquete,180 g,"1,45 €",Mercadona
Salsa fresca Pesto con albahaca,Hacendado,Tarrina,150 g,"2,00 €",Mercadona
Salsa fresca Setas,Hacendado,Paquete,180 g,"1,55 €",Mercadona
Salsa fresca Carbonara,Hacendado,Paquete,200 g,"1,55 €",Mercadona
Salsa de soja,Hacendado,Botella,250 ml,"1,40 €",Mercadona
Salsa teriyaki,Hacendado,Botella,250 ml,"1,65 €",Mercadona
Salsa agridulce,Salsas Asturianas,Bote,340 g,"1,70 €",Mercadona
Salsa thai chili dulce,J-Lek,Botella,250 ml,"1,55 €",Mercadona
Salsa de soja sin gluten,Hacendado,Botella,250 ml,"2,50 €",Mercadona
Guacamole,Hacendado,Tarrina,500 g,"3,79 €",Mercadona
Guacamole,Hacendado,Tarrina,200 g,"1,89 €",Mercadona
Salsa yogur,Hacendado,Bote,310 ml,"1,20 €",Mercadona
Salsa mexicana,Hacendado,Tarro,300 g,"1,25 €",Mercadona
Salsa Ranch,Hacendado,Bote,250 ml,"1,35 €",Mercadona
Salsa césar,Hacendado,Bote,310 ml,"1,40 €",Mercadona
"Aliño de aceite, ajo y perejil",Hacendado,Tarrina,150 ml,"1,60 €",Mercadona
Salsa miel y mostaza,Hacendado,Bote,340 g,"1,45 €",Mercadona
Salsa de trufas,Hacendado,Bote,80 g,"3,10 €",Mercadona
Salsa gajos rústica,Hacendado,Bote,250 ml,"1,35 €",Mercadona
Salsa de queso,Hacendado,Tarro,280 ml,"1,75 €",Mercadona
Chili con carne,Hacendado,Bote,420 g,"2,65 €",Mercadona
Salsa bechamel,Knorr,Brick,500 ml,"2,25 €",Mercadona
Extracto original de buey,Bovril,Tarro,125 g,"3,00 €",Mercadona
Salsa cocktail,Hacendado,Bote,460 ml,"1,40 €",Mercadona
Carne de pimiento choricero,Hacendado,Tarro,140 g,"1,55 €",Mercadona
Pasta de sésamo Tahini,Hacendado,Tarro,200 g,"2,95 €",Mercadona
Salsa brava,Hacendado,Bote,310 g,"1,80 €",Mercadona
