producto,marca,formato,cantidad,precio,supermercado
Barra de pan,El molino de Dia,Bolsa,250 g,"0,48 €",Dia
Chapata de cristal,El molino de Dia,Bolsa,2 unidades  190 g,"1,71 €",Dia
Barra de pan baguette,El molino de Dia,Bolsa,250 g,"0,51 €",Dia
Barra de pan chapata,El molino de Dia,Bolsa,300 g,"0,65 €",Dia
Barra de pan de picos,El molino de Dia,Bolsa,260 g,"0,68 €",Dia
Hogaza,El molino de Dia,Bolsa,350 g,"0,99 €",Dia
Hogaza de centeno y avena,El molino de Dia,Bolsa,500 g,"2,05 €",Dia
Barra de pan peregrina,El molino de Dia,Bolsa,250 g,"0,72 €",Dia
Barra de pan integral,El molino de Dia,Bolsa,  220 g,"0,59 €",Dia
Pan candeal grande,El molino de Dia,Bolsa,500 g,"1,39 €",Dia
Pan de centeno,El molino de Dia,Unidad, 450 g,"0,99 €",Dia
Barra de pan,El molino de Dia,Bolsa,125 g,"0,27 €",Dia
Mollete de Antequera,El molino de Dia,Bolsa,280 g,"1,14 €",Dia
Barra de pan,El molino de Dia,Caja,  210 g,"0,87 €",Dia
Barra de pan picado andaluz,El molino de Dia,Bolsa,130 g,"0,35 €",Dia
Pan rústico en rebanadas,El molino de Dia,Bolsa,550 g,"1,59 €",Dia
Hogaza de centeno,El molino de Dia,Bolsa,500 g,"2,05 €",Dia
Pan rústico integral en rebanadas,El molino de Dia,Bolsa,550 g,"1,69 €",Dia
Pan viena integral ,El molino de Dia,Unidad,  90 g,"0,27 €",Dia
Hogaza de maíz,El molino de Dia,Bolsa,  330 g,"1,29 €",Dia
Barra de pan espiga,El molino de Dia,Unidad,270 g,"0,75 €",Dia
Pan de horno de piedra,El molino de Dia,Unidad,600 g,"1,39 €",Dia
Barra de pan para torrijas,El molino de Dia,Bolsa,300 g,"1,29 €",Dia
Barra de pan baguette con semillas La hornada Dia,El molino de Dia,Bolsa,250 g,"0,91 €",Dia
Barra de pan premium,El molino de Dia,Bolsa,430 g,"0,89 €",Dia
Pan flauta,El molino de Dia,Unidad,110 g,"0,41 €",Dia
Panecillo con quinoa,El molino de Dia,Unidad,100 g,"0,48 €",Dia
Hogaza con pipas de calabaza,El molino de Dia,Bolsa,500 g,"2,05 €",Dia
Barra de pan parisienne,El molino de Dia,Caja,300 g,"0,74 €",Dia
Barra de pan con sésamo y fibra blanca,El molino de Dia,Caja,265 g,"1,05 €",Dia
