producto,marca,formato,cantidad,precio,supermercado
Patatas fritas onduladas sabor jamón,Snack Maniac,Bolsa,170 g,"1,30 €",Dia
Patatas artesanas a la sartén,Snack Maniac,Bolsa,2 x 150 g,"1,75 €",Dia
Patatas fritas lisas al punto de sal,Snack Maniac,Bolsa,200 g,"1,29 €",Dia
Cóctel de aperitivos,Snack Maniac,Bolsa,200 g,"1,50 €",Dia
Patatas fritas gourmet,Lay's,Bolsa,170 g,"2,79 €",Dia
Patatas fritas onduladas sabor a jamón,Ruffles,Bolsa,275 g,"3,39 €",Dia
Patatas fritas original,Pringles,Bote,165 g,"2,55 €",Dia
Nachos sabor a queso,Doritos,Bolsa,260 g,"3,49 €",Dia
Nachos sabor a queso,Snack Maniac,Bolsa,150 g,"0,95 €",Dia
Palomitas sabor mantequilla,Snack Maniac,Bolsa,80 g,"0,75 €",Dia
Patatas fritas gourmet extra crujientes,Snack Maniac,Bolsa,150 g,"1,50 €",Dia
Conos de maíz sabor queso y bacon,Snack Maniac,Bolsa,100 g,"0,75 €",Dia
Patatas fritas,Santa Ana,Bolsa,150 g,"1,75 €",Dia
Patatas fritas campesinas,Snack Maniac,Bolsa,170 g,"1,30 €",Dia
Nachos naturales,Snack Maniac,Bolsa,150 g,"0,90 €",Dia
Tiras de maíz,Snack Maniac,Bolsa,150 g,"0,85 €",Dia
Aperitivo de maíz horneado sabor a queso,Cheetos,Bolsa,130 g,"1,89 €",Dia
Patatas fritas onduladas,Snack Maniac,Bolsa,180 g,"1,19 €",Dia
Conos de maíz sabor a queso y bacon,Lay's,Bolsa, 100 g,"1,99 €",Dia
Torreznos,Snack Maniac,Bolsa,100 g,"1,35 €",Dia
Patatas fritas onduladas sabor jamón y queso,Ruffles,Bolsa,150 g,"1,99 €",Dia
Patatas fritas mediterráneas con aceite de oliva,Lay's,Bolsa,150 g,"2,69 €",Dia
Patatas fritas sabor ketchup,Ruffles,Bolsa,150 g,"1,99 €",Dia
Aperitivo de maíz horneado,Cheetos,Bolsa,96 g,"1,99 €",Dia
Patatas fritas,Santa Ana,Bolsa,270 g,"3,19 €",Dia
Patatas fritas,Santa Ana,Bolsa,280 g,"2,99 €",Dia
Aperitivo de maíz flamin hot,Cheetos,Bolsa,80 g,"1,50 €",Dia
Patatas fritas onduladas flamin hot,Ruffles,Bolsa,75 g,"1,50 €",Dia
Nachos flamin hot,Doritos,Bolsa,75 g,"1,50 €",Dia
"Naturchips con tomate, queso y orégano",Snatt's,Bolsa,65 g,"1,49 €",Dia
Patatas fritas sin sal,Pafritas,Bolsa,140 g,"1,85 €",Dia
Snack hot goal sabor queso picante,Snack Maniac,Bolsa,150 g,"1,75 €",Dia
Patatas fritas picantes,Pringles,Bote,70 g,"1,40 €",Dia
Ganchitos sabor queso,Snack Maniac,Bolsa,80 g,"0,70 €",Dia
Patatas fritas barbacoa,Pringles,Bote,70 g,"1,40 €",Dia
Patatas sabor queso curado,Snack Maniac,Bolsa,150 g,"1,45 €",Dia
Patatas fritas cheesy cheese,Pringles,Bote,165 g,"2,55 €",Dia
Palomitas de colores,Frit ravich,Bolsa,130 g,"1,55 €",Dia
Cocktail de snacks,Jumpers,Bolsa,100 g,"1,30 €",Dia
Patatas fritas picantes,Pringles,Bote,165 g,"2,55 €",Dia
Patatas fritas a la sartén,Sabores de la Esteban,Bolsa,130 g,"1,65 €",Dia
Cortezas de cerdo,Snack Maniac,Bolsa,75 g,"1,00 €",Dia
Patatas light,Snack Maniac,Bolsa,150 g,"1,35 €",Dia
Patatas paja,Snack Maniac,Bolsa,200 g,"1,50 €",Dia
Palomitas de maíz con sal,Snack Maniac,Bolsa,80 g,"1,10 €",Dia
Patatas fritas a la vinagreta,Snack Maniac,Bolsa,130 g,"1,15 €",Dia
Aperitivo frito con sabor a jamón,Grefusa,Bolsa,73 g,"1,65 €",Dia
Aperitivo frito con sabor a barbacoa,Grefusa,Bolsa,135 g,"1,65 €",Dia
Aspitos,Aspil,Bolsa,6 x 6 g,"1,30 €",Dia
Patatas fritas pizza,Pringles,Bote,165 g,"2,55 €",Dia
Patatas fritas gourmet corte fino,Lay's,Bolsa,170 g,"2,79 €",Dia
Patatas fritas paprika,Pringles,Bote,70 g,"1,40 €",Dia
Patatas fritas crema y cebolla,Pringles,Bote,70 g,"1,40 €",Dia
Patatas fritas original,Pringles,Bote,70 g,"1,40 €",Dia
Snack de multicereales con sal marina,Sunbites,Bolsa,95 g,"2,19 €",Dia
Aperitivo de maíz frito,Doritos,Bolsa,150 g,"1,99 €",Dia
Aperitivo frito con sabor a queso,Cheetos,Bolsa,25 g,"0,50 €",Dia
Torrezno frito sabor jamón ibérico,Tendilla,Bote,125 g,"2,45 €",Dia
Aperitivo de maíz frito con sabor a barbacoa,Doritos,Bolsa,48 g,"0,65 €",Dia
Surtido de snacks Picoteo,Tosfrit,Bolsa,90 g,"0,95 €",Dia
Conchitas con sabor a ketchup,Jumpers,Bolsa,95 g,"1,30 €",Dia
Aperitivo de maíz con sabor a mantequilla,Jumpers,Bolsa,100 g,"1,30 €",Dia
Patatas fritas sabor crema y cebolla,Pringles,Bote,165 g,"2,55 €",Dia
Patatas fritas sabor campesina,Lay's,Bolsa,250 g,"3,09 €",Dia
Patatas fritas sal & vinagre,Pringles,Bote,165 g,"2,55 €",Dia
Rizos,Cheetos,Bolsa,100 g,"1,89 €",Dia
Patatas fritas sabor campesina,Lay's,Bolsa,150 g,"1,99 €",Dia
Patatas fritas sabor vinagreta,Lay's,Bolsa,150 g,"1,99 €",Dia
Palitos de patata,Snack Maniac,Bolsa,100 g,"1,13 €",Dia
Cortezas de trigo,Snack Maniac,Bolsa,80 g,"0,85 €",Dia
Patatas fritas sabor,Pringles,Bote,165 g,"2,55 €",Dia
Patatas fritas bbq,Pringles,Bote,165 g,"2,55 €",Dia
Aros de maíz frito,Tosfrit,Bolsa,120 g,"1,05 €",Dia
Aperitivo de maíz horneado,Cheetos,Bolsa,30 g,"0,50 €",Dia
Nachos sabor picante,Doritos,Bolsa,140 g,"1,99 €",Dia
Patatas fritas al punto de sal,Lay's,Bolsa,265 g,"2,99 €",Dia
Pelotazos,Cheetos,Bolsa,39 g,"0,50 €",Dia
Aperitivo frito sabor barbacoa,Fritos,Bolsa,54 g,"0,65 €",Dia
Nachos sabor a queso,Doritos,Bolsa,40 g,"0,75 €",Dia
Conos de maíz con sabor a queso y bacon,Lay's,Bolsa, 33 g,"0,65 €",Dia
Torreznos naturales,Tendilla,Bote,140 g,"2,69 €",Dia
Patatas fritas paprika,Pringles,Bote,165 g,"2,55 €",Dia
Apetinas sabor ketchup,Tosfrit,Bolsa,90 g,"1,25 €",Dia
Patatas fritas al punto de sal,Lay's,Bolsa,160 g,"1,99 €",Dia
Cortezas de trigo sabor a carne  Bocabits,Lay's,Bolsa,84 g,"1,99 €",Dia
Aperitivo frito sabor barbacoa,Fritos,Bolsa,146 g,"1,99 €",Dia
Aperitivo frito con sabor a queso,Cheetos,Bolsa,75 g,"1,99 €",Dia
Patatas fritas onduladas,Ruffles,Bolsa,160 g,"1,99 €",Dia
Patatas fritas onduladas sabor a jamón,Ruffles,Bolsa,150 g,"1,99 €",Dia
Nachos sabor a queso,Doritos,Bolsa,140 g,"1,99 €",Dia
Nachips,Old El Paso,Bolsa,200 g,"2,75 €",Dia
Patatas fritas al horno,Lay's,Bolsa,150 g,"2,49 €",Dia
Aperitivo horneado con sabor a queso y ketchup,Cheetos,Bolsa,96 g,"1,99 €",Dia
