producto,marca,formato,cantidad,precio,supermercado
Patatas fritas extra crujientes,Hacendado,Paquete,150 g,"1,30 €",Mercadona
Patatas fritas clásicas,Hacendado,Paquete,2 paquetes x 150 g,"1,75 €",Mercadona
Patatas fritas onduladas  sabor jamón serrano,Hacendado,Paquete,150 g,"1,15 €",Mercadona
Patatas fritas corte ondulado,Hacendado,Paquete,150 g,"1,00 €",Mercadona
Patatas light,Hacendado,Paquete,150 g,"1,35 €",Mercadona
Aperitivo de patata sabor original,Pringles,Bote,165 g,"2,55 €",Mercadona
Patatas fritas sabor campestre,Hacendado,Paquete,150 g,"1,15 €",Mercadona
Aperitivo de patata sabor crema agria y cebolla,Pringles,Bote,165 g,"2,55 €",Mercadona
Patatas fritas sabor sal y vinagre,Hacendado,Paquete,130 g,"1,15 €",Mercadona
Patatas fritas sabor chili y lima,Hacendado,Paquete,130 g,"1,15 €",Mercadona
Patatinas extra crujientes,Hacendado,Paquete,120 g,"1,50 €",Mercadona
Patatas fritas onduladas  sabor queso,Munchos,Paquete,130 g,"1,15 €",Mercadona
Patatas fritas 0% sal añadida,Hacendado,Paquete,130 g,"1,60 €",Mercadona
Patatas fritas sabor ketchup,Hacendado,Paquete,130 g,"1,15 €",Mercadona
Patatas fritas sabor pimiento asado,Hacendado,Paquete,130 g,"1,15 €",Mercadona
Nachos,Hacendado,Paquete,150 g,"0,90 €",Mercadona
Pandilla sabor queso,Cheetos,Paquete,75 g,"1,89 €",Mercadona
Pelotazos sabor queso,Cheetos,Paquete,130 g,"1,89 €",Mercadona
Nachos tex-mex  sabor queso,Hacendado,Paquete,150 g,"0,95 €",Mercadona
Garfitos de maíz sabor queso,Hacendado,Paquete,80 g,"0,70 €",Mercadona
Cuquitos sabor queso,Hacendado,Paquete,100 g,"0,80 €",Mercadona
Conos sabor bacon y queso,Hacendado,Paquete,100 g,"0,75 €",Mercadona
Galletitas saladas,Hacendado,Bote,350 g,"1,30 €",Mercadona
Cuquis,Hacendado,Paquete,80 g,"0,70 €",Mercadona
Combinado de aperitivos,Hacendado,Paquete,200 g,"1,50 €",Mercadona
Bombitas de maíz sabor mantequilla,Hacendado,Paquete,80 g,"0,75 €",Mercadona
Torreznos sabor barbacoa,Hacendado,Paquete,100 g,"1,55 €",Mercadona
Trigo snack sabor ahumado,Hacendado,Paquete,80 g,"0,85 €",Mercadona
Patatas fritas paja,Hacendado,Paquete,200 g,"1,50 €",Mercadona
Torreznos,Hacendado,Paquete,120 g,"1,65 €",Mercadona
Piña deshidratada,Hacendado,Paquete,50 g,"1,25 €",Mercadona
Snack de maíz Bits  sabor barbacoa,Doritos,Paquete,80 g,"0,95 €",Mercadona
Cocktail galletitas de aperitivo,Hacendado,Bote,300 g,"1,55 €",Mercadona
Sticks de patata,Hacendado,Paquete,75 g,"0,85 €",Mercadona
Súper cuquis,La Llanura,Paquete,10 paquetes x 6 g,"1,20 €",Mercadona
Aros de maíz,Hacendado,Paquete,120 g,"0,85 €",Mercadona
Palomitas caramelo,Hacendado,Paquete,120 g,"1,30 €",Mercadona
Snack de maíz sabor mantequilla,Snakis,Paquete,100 g,"1,00 €",Mercadona
Snack de maíz Crunchy sabor picante,Munchos,Paquete,100 g,"1,00 €",Mercadona
Cocktail mezcla aperitivos fritos,Hacendado,Paquete,100 g,"1,10 €",Mercadona
Snack de maíz Redes sabor barbacoa,Hacendado,Paquete,100 g,"0,95 €",Mercadona
Sticks vegetales,Hacendado,Paquete,100 g,"1,20 €",Mercadona
Tiras fritas sabor carne ahumada,Munchos,Paquete,150 g,"0,80 €",Mercadona
