producto,marca,formato,cantidad,precio,supermercado
Regañás,El molino de Dia,Bolsa,250 g,"1,09 €",Dia
Regañás con aceite de oliva virgen extra,El molino de Dia,Bolsa,150 g,"1,45 €",Dia
Pan tostado normal,El molino de Dia,Bolsa,270 g,"1,05 €",Dia
Pan tostado integral,El molino de Dia,Bolsa,270 g,"1,45 €",Dia
Biscotes integrales,El molino de Dia,Bolsa,540 g,"2,05 €",Dia
Picos camperos con aceite de oliva virgen extra,El molino de Dia,Bolsa,200 g,"1,35 €",Dia
Cóctel de picos,El molino de Dia,Bolsa,250 g,"1,25 €",Dia
Biscotes,El molino de Dia,Bolsa,540 g,"1,95 €",Dia
Picos de pan,El molino de Dia,Bolsa,250 g,"0,85 €",Dia
Palitos de pan con pipas,Naturmundo,Bolsa,90 g,"0,79 €",Dia
Picos integrales,El molino de Dia,Bolsa,250 g,"0,85 €",Dia
Panecillos tostados con ajo y perejil,El molino de Dia,Bolsa,160 g,"1,19 €",Dia
Panecillos tostados con tomate y orégano,El molino de Dia,Bolsa,160 g,"1,19 €",Dia
Picatostes fritos,El molino de Dia,Bolsa,75 g,"0,70 €",Dia
Panecillo,El molino de Dia,Bolsa,  225 g,"0,85 €",Dia
Picos camperos,El molino de Dia,Bolsa,250 g,"0,99 €",Dia
Panecillos tostados,El molino de Dia,Bolsa,225 g,"0,80 €",Dia
Rosquillas de pan,El molino de Dia,Bolsa,250 g,"0,95 €",Dia
Palitos de pan con queso,Naturmundo,Bolsa,90 g,"0,79 €",Dia
Mini tostas,El molino de Dia,Caja,100 g,"1,35 €",Dia
Palitos de pan con queso,Snatt's,Bolsa,56 g,"1,19 €",Dia
Picos artesanos sin gluten,Abuelobread,Bolsa,100 g,"1,55 €",Dia
Surtido de picos y regañás,Horno el antequerano,Bolsa,150 g,"1,59 €",Dia
Bocaditos de tomate y orégano,Snatt's,Bolsa,110 g,"1,49 €",Dia
Bocaditos sabor jamón y tomate,Snatt's,Bolsa,110 g,"1,49 €",Dia
Pan tostado original,Wasa,Paquete,205 g,"2,49 €",Dia
Pan chapata rústica,Recondo,Caja,180 g,"2,45 €",Dia
Mini biscotes,El molino de Dia,Bolsa,240 g,"1,65 €",Dia
Pan tostado con sésamo,Wasa,Paquete,200 g,"2,59 €",Dia
Picos de Antequera,El molino de Dia,Bolsa,150 g,"1,69 €",Dia
Piquitos bajo contenido en sal,El molino de Dia,Bolsa,180 g,"0,97 €",Dia
Picos rústicos con aceite de oliva,El molino de Dia,Bolsa,130 g,"1,59 €",Dia
Colines sin gluten,Proceli,Bolsa,150 g,"2,39 €",Dia
Picos artesanos de jerez,Horno la gañania,Bolsa,400 g,"2,05 €",Dia
Picos reventaos,El molino de Dia,Bolsa,250 g,"1,05 €",Dia
Palitos de trigo con olivas y sésamo,Snatt's,Bolsa,60 g,"1,19 €",Dia
Grissinis finos,Selección Mundial,Bolsa,250 g,"1,99 €",Dia
Pan tostado hogaza rústica,Recondo,Caja,240 g,"2,39 €",Dia
Crackers tradicionales,Recondo,Caja,250 g,"2,39 €",Dia
Picos integrales con aceite de oliva,El molino de Dia,Bolsa,200 g,"1,29 €",Dia
Mini biscotes con pasas,El molino de Dia,Bolsa,110 g,"1,19 €",Dia
Picatostes tostados,El molino de Dia,Bolsa,90 g,"0,80 €",Dia
Picos sin gluten,Panceliac,Bolsa,100 g,"1,69 €",Dia
Biscotes sin gluten,Proceli,Caja,150 g,"3,39 €",Dia
Pan avena,Wasa,Paquete,280 g,"2,59 €",Dia
Picos integrales,Quely,Bolsa,225 g,"1,07 €",Dia
Hogaza de pan nueve cereales y semillas,Recondo,Caja,240 g,"2,39 €",Dia
Quelitas crujientes,Quely,Bolsa,200 g,"1,55 €",Dia
Palitos de pan con pipas,Snatt's,Bolsa,62 g,"1,19 €",Dia
Palitos de pan con pipas,Velarte,Bolsa,80 g,"1,05 €",Dia
