producto,marca,formato,cantidad,precio,supermercado
Refresco  limón,Fanta,Botella,2 L,"1,79 €",Mercadona
Refresco  limón,Fanta,Lata,9 latas x 330 ml,"5,76 €",Mercadona
Refresco  limón,Fanta,Lata,330 ml,"0,66 €",Mercadona
Refresco  limón zero azúcares añadidos,Fanta,Lata,330 ml,"0,75 €",Mercadona
Refresco de limón  fresh gas,Hacendado,Botella,2 L,"0,92 €",Mercadona
Refresco de limón  fresh gas,Hacendado,Lata,6 latas x 330 ml,"2,10 €",Mercadona
Refresco de limón  fresh gas,Hacendado,Lata,330 ml,"0,35 €",Mercadona
Refresco de limón  zero azúcar fresh gas,Hacendado,Botella,2 L,"0,92 €",Mercadona
Refresco de limón  zero azúcar fresh gas,Hacendado,Lata,6 latas x 330 ml,"2,10 €",Mercadona
Refresco de limón  zero azúcar fresh gas,Hacendado,Lata,330 ml,"0,35 €",Mercadona
Refresco limón,Schweppes original,Lata,8 latas x 330 ml,"7,52 €",Mercadona
Refresco limón,Schweppes original,Lata,330 ml,"0,95 €",Mercadona
Refresco lima limón  zero azúcar,7 Up,Botella,2 L,"1,59 €",Mercadona
Refresco lima limón  zero azúcar,7 Up,Lata,9 latas x 330 ml,"4,95 €",Mercadona
Refresco lima limón  zero azúcar,7 Up,Lata,330 ml,"0,59 €",Mercadona
Refresco lima limón  fresh gas,Hacendado,Botella,2 L,"0,92 €",Mercadona
Refresco lima limón  fresh gas,Hacendado,Lata,6 latas x 330 ml,"2,10 €",Mercadona
Refresco lima limón  fresh gas,Hacendado,Lata,330 ml,"0,35 €",Mercadona
Refresco lima limón  zero azúcar fresh gas,Hacendado,Botella,2 L,"0,92 €",Mercadona
Refresco  naranja,Fanta,Botella,2 botellas x 2 L,"3,50 €",Mercadona
Refresco  naranja,Fanta,Botella,2 L,"1,79 €",Mercadona
Refresco  naranja,Fanta,Lata,9 latas x 330 ml,"5,76 €",Mercadona
Refresco  naranja,Fanta,Lata,330 ml,"0,66 €",Mercadona
Refresco  naranja zero azúcares añadidos,Fanta,Botella,2 L,"1,79 €",Mercadona
Refresco  naranja zero azúcares añadidos,Fanta,Lata,330 ml,"0,75 €",Mercadona
Refresco de naranja  fresh gas,Hacendado,Botella,2 L,"0,92 €",Mercadona
Refresco de naranja  fresh gas,Hacendado,Lata,6 latas x 330 ml,"2,10 €",Mercadona
Refresco de naranja  fresh gas,Hacendado,Lata,330 ml,"0,35 €",Mercadona
Refresco de naranja  zero fresh gas,Hacendado,Botella,2 L,"0,92 €",Mercadona
Refresco de naranja  zero fresh gas,Hacendado,Lata,6 latas x 330 ml,"2,10 €",Mercadona
Refresco de naranja  zero fresh gas,Hacendado,Lata,330 ml,"0,35 €",Mercadona
