producto,marca,formato,cantidad,precio,supermercado
Refresco té al limón,Nestea,Lata,8 latas x 330 ml,"7,68 €",Mercadona
Refresco té al limón,Nestea,Lata,330 ml,"0,99 €",Mercadona
Refresco té al limón,Nestea,Botella,"1,5 L","1,99 €",Mercadona
Refresco té verde,Hacendado,Botella,"1,5 L","0,95 €",Mercadona
Refresco té sabor limón,Hacendado,Botella,"1,5 L","0,95 €",Mercadona
Refresco té sabor melocotón  zero,Hacendado,Botella,"1,5 L","0,95 €",Mercadona
Refresco té sabor melocotón,Hacendado,Botella,"1,5 L","0,95 €",Mercadona
Refresco té sabor limón  para diluir,Hacendado,Caja,12 sobres (36 g),"1,50 €",Mercadona
Refresco té sabor melocotón  para diluir,Hacendado,Caja,12 sobres (36 g),"1,50 €",Mercadona
Refresco té sabor mango  zero,Hacendado,Botella,"1,5 L","0,95 €",Mercadona
Refresco té sabor limón,Hacendado,Lata,6 latas x 330 ml,"3,00 €",Mercadona
Refresco té sabor limón,Hacendado,Lata,330 ml,"0,50 €",Mercadona
Refresco té sabor limón  zero,Hacendado,Botella,"1,5 L","0,95 €",Mercadona
Limonada  light sin gas,Don Simón,Botella,2 L,"1,50 €",Mercadona
Refresco de naranja  sin gas,Simon Life,Botella,"1,5 L","1,85 €",Mercadona
Refresco de naranja  sin gas,Gold Spring,Botella,2 L,"1,40 €",Mercadona
Refresco de naranja  sin gas,Gold Spring,Botella,4 botellas x 330 ml,"1,50 €",Mercadona
Refresco fusión de frutas  cero sin gas,Gold Spring,Botella,2 L,"1,40 €",Mercadona
Bebida Florida,Sunny Delight,Botella,"1,25 L","1,95 €",Mercadona
Refresco piña-coco  cero sin gas,Gold Spring,Botella,2 L,"1,40 €",Mercadona
Agua de coco  100% natural,Chaokoh,Brick,1 L,"2,60 €",Mercadona
Refresco sandía  cero sin gas,Gold Spring,Botella,2 L,"1,40 €",Mercadona
Refresco Caribe  cero sin gas,Gold Spring,Botella,2 L,"1,40 €",Mercadona
Limonada  light sin gas,Hacendado,Botella,4 botellas x 330 ml,"1,50 €",Mercadona
