producto,marca,formato,cantidad,precio,supermercado
Sardinillas en aceite de oliva,Mari Marinera,Lata,2 x 62 g,"1,99 €",Dia
Sardinas en aceite de oliva,Mari Marinera,Lata,85 g,"0,99 €",Dia
Sardinillas en aceite de girasol,Mari Marinera,Lata,2 x 65 g,"1,69 €",Dia
Sardinillas en aceite de oliva bajo en sal,Mari Marinera,Lata,2 x 65 g,"2,05 €",Dia
Sardinas en aceite de oliva,Albo,Lata,85 g,"2,15 €",Dia
Sardinillas en aceite de oliva bajo en sal,Calvo,Lata,60 g,"1,75 €",Dia
Sardinillas en tomate,Mari Marinera,Lata,62 g,"0,89 €",Dia
Sardinas en aceite de girasol,Mari Marinera,Lata,85 g,"0,85 €",Dia
Sardinillas en escabeche,Mari Marinera,Lata,65 g,"0,89 €",Dia
Sardinillas en aceite picante,Mari Marinera,Lata,62 g,"0,89 €",Dia
Sardinas en tomate,Mari Marinera,Lata,85 g,"0,85 €",Dia
Sardinas en tomate,Ribeira,Lata,55 g,"1,00 €",Dia
Sardinas picantonas,Albo,Lata,85 g,"2,15 €",Dia
Sardinillas en aceite picante,Ribeira,Lata,60 g,"1,00 €",Dia
Sardinillas al limón,Mari Marinera,Lata,65 g,"0,89 €",Dia
Sardinillas en aceite de oliva,Mari Marinera,Lata,81 g,"2,20 €",Dia
Sardinas en aceite vegetal,Ribeira,Lata,85 g,"1,00 €",Dia
Sardinas baja en sal en aceite de oliva,Calvo,Lata,84 g,"1,75 €",Dia
Sardinilla aceite oliva,Cuca,Lata,63 g,"2,49 €",Dia
Sardinas en escabeche,Minerva,Lata,85 g,"2,39 €",Dia
Sardinas en aceite de oliva picante,Minerva,Lata,85 g,"2,39 €",Dia
Sardinas en aceite de oliva eco,Minerva,Lata,85 g,"2,39 €",Dia
Filetes de sardina en aceite de oliva,Minerva,Lata,85 g,"3,49 €",Dia
Sardinillas en aceite de oliva,Cabo de Peñas,Lata,62 g,"1,55 €",Dia
Sardinas en aceite de oliva eco,Rianxeira,Lata,57 g,"1,75 €",Dia
Sardinillas en aceite de oliva,Albo,Lata,8/12 piezas   82 g,"2,45 €",Dia
Sardinas en aceite de oliva,Cuca,Lata,85 g,"2,55 €",Dia
