producto,marca,formato,cantidad,precio,supermercado
Puré de patatas,Patatas Unidas,Caja,500 g,"1,95 €",Dia
Sopa de cebolla,Knorr,Sobre,54 g,"0,79 €",Dia
Pastillas de caldo de pollo  Avecrem,Gallina Blanca,Caja,24 unidades,"2,95 €",Dia
Caldo de carne,Knorr,Caja,18 unidades,"1,99 €",Dia
Pastillas de caldo de pollo  Avecrem,Gallina Blanca,Caja,8 unidades,"1,00 €",Dia
Caldo de pollo,Al Punto,Caja,24 unidades,"1,50 €",Dia
Sopa de pollo con fideos,Al Punto,Sobre,71 g,"0,44 €",Dia
Sopa de pollo con fideos,Gallina Blanca,Sobre,71 g,"0,85 €",Dia
Sopa maravilla,Al Punto,Sobre,90 g,"0,55 €",Dia
Caldo de verduras,Al Punto,Caja,12 unidades,"0,85 €",Dia
Sopa de ternera con estrellitas,Gallina Blanca,Sobre,74 g,"0,85 €",Dia
Caldo sabor a carne,Al Punto,Caja,24 unidades,"1,75 €",Dia
Sopa de pollo con maravilla,Gallina Blanca,Sobre,85 g,"0,85 €",Dia
Noodles orientales sabor pollo,Dia,Vaso,65 g,"0,85 €",Dia
Sopa de verduras,Gallina Blanca,Sobre,51 g,"0,85 €",Dia
Sopa de cebolla,Knorr,Sobre,54 g,"0,79 €",Dia
Sopa de ave con fideos,Gallina Blanca,Sobre,76 g,"0,85 €",Dia
Noodles sabor gamba Al punto,Marca no encontrada,Sobre,85 g,"0,95 €",Dia
Crema de pollo con picatostes  Sopinstant,Gallina Blanca,Caja,63 g,"1,49 €",Dia
Fideos orientales yakisoba  Yatekomo,Gallina Blanca,Vaso,93 g,"1,95 €",Dia
Hierbas provenzales,Maggi,Sobre,34 g,"1,15 €",Dia
Puré de patatas con leche,Maggi,Caja,230 g,"2,59 €",Dia
Puré de patatas,Maggi,Caja,230 g,"2,39 €",Dia
Caldo vegetal,Knorr,Caja,12 unidades,"1,69 €",Dia
Caldo de pescado,Al Punto,Caja,12 unidades,"0,85 €",Dia
Sopa minestrina Frozen,Knorr,Bolsa,40 g,"0,99 €",Dia
Caldo de carne  Avecrem,Gallina Blanca,Caja,20 unidades,"1,89 €",Dia
Fideos orientales yakisoba  Yatekomo,Gallina Blanca,Bolsa,93 g,"1,59 €",Dia
Fideos orientales yakisoba pollo  Yatekomo,Gallina Blanca,Bolsa,93 g,"1,59 €",Dia
Noodles orientales sabor verduras,Dia,Vaso,65 g,"0,85 €",Dia
Fideos orientales yakisoba pollo  Yatekomo,Gallina Blanca,Vaso,93 g,"1,95 €",Dia
Caldo de pescado,Knorr,Caja,12 unidades,"1,69 €",Dia
Crema de espárragos  Sopinstant,Gallina Blanca,Caja,57 g,"1,49 €",Dia
Sopa jardinera,Gallina Blanca,Sobre,77 g,"0,85 €",Dia
Sopa de cocido con fideos,Gallina Blanca,Sobre,72 g,"0,85 €",Dia
Pasta oriental fusian sabor pollo,Maggi,Sobre,71 g,"0,90 €",Dia
Sopa de verduras con picatostes  Sopinstant,Gallina Blanca,Caja,51 g,"1,49 €",Dia
Crema de champiñones,Knorr,Sobre,62 g,"0,99 €",Dia
Pasta oriental yakisoba classic,Fusian,Sobre,120 g,"1,99 €",Dia
Sopa de pollo con fideos finos bajo en sal,Gallina Blanca,Sobre,68 g,"0,85 €",Dia
