producto,marca,formato,cantidad,precio,supermercado
Toallitas bebé frescas & perfumadas,Deliplus,Paquete,3 paquetes x 80 ud.,"3,00 €",Mercadona
Toallitas bebé frescas & perfumadas,Deliplus,Paquete,80 ud.,"1,05 €",Mercadona
Toallitas bebé frescas & perfumadas,Deliplus,Paquete,24 ud.,"0,75 €",Mercadona
Toallitas bebé cremosas,Deliplus,Paquete,80 ud.,"1,40 €",Mercadona
Toallitas infantiles cara y manos,Deliplus,Paquete,20 ud.,"0,60 €",Mercadona
Toallitas bebé pieles con tendencia atópica,Deliplus,Paquete,60 ud.,"1,70 €",Mercadona
Toallitas bebé Aqua,Deliplus,Paquete,60 ud.,"1,80 €",Mercadona
Pañales bebé talla 1 de 2-5 kg,Dodot,Paquete,44 ud.,"12,20 €",Mercadona
Pañales bebé talla 1 de 2-4 kg,Deliplus,Paquete,30 ud.,"6,60 €",Mercadona
Pañales bebé talla 2 de 3-6 kg,Deliplus,Paquete,42 ud.,"7,15 €",Mercadona
Pañales bebé talla 2 de 4-8 kg,Dodot,Paquete,58 ud.,"15,60 €",Mercadona
Pañales bebé talla 3 de 4-10 kg,Deliplus,Paquete,3 paquetes x 36 ud.,"16,50 €",Mercadona
Pañales bebé talla 3 de 4-10 kg,Deliplus,Paquete,36 ud.,"5,60 €",Mercadona
Pañales bebé talla 3 de 6-10 kg,Dodot,Paquete,62 ud.,"17,95 €",Mercadona
Pañales bebé talla 4 de 9-15 kg,Deliplus,Paquete,3 paquetes x 34 ud.,"17,25 €",Mercadona
Pañales bebé talla 4 de 9-15 kg,Deliplus,Paquete,34 ud.,"5,85 €",Mercadona
Pañales bebé talla 4 de 9-14 kg,Dodot,Paquete,58 ud.,"17,95 €",Mercadona
Pañales bebé talla 5 de 13-18 kg,Deliplus,Paquete,3 paquetes x 30 ud.,"17,85 €",Mercadona
Pañales bebé talla 5 de 13-18 kg,Deliplus,Paquete,30 ud.,"6,05 €",Mercadona
Pañales bebé talla 5 de 11-16 kg,Dodot,Paquete,54 ud.,"17,95 €",Mercadona
Pañales bebé talla 6 de 17-28 kg,Deliplus,Paquete,22 ud.,"6,30 €",Mercadona
Pañales bebé talla 6 de 13-19 kg,Dodot,Paquete,36 ud.,"14,00 €",Mercadona
Pañal junior talla hasta 34 más de 25 kg,Deliplus,Paquete,20 ud.,"11,00 €",Mercadona
Cambiador multiusos desechable,Deliplus,Paquete,6 ud.,"2,50 €",Mercadona
Pañal bebé braguita talla L de 12-18 kg,Deliplus,Paquete,24 ud.,"7,40 €",Mercadona
Pañal bebé braguita talla XL de 16-28 kg,Deliplus,Paquete,22 ud.,"7,40 €",Mercadona
Pañal junior braguita noche infantil  de 17-30 kg,Deliplus,Paquete,16 ud.,"10,65 €",Mercadona
Pañal junior braguita noche infantil  de 27-57 kg,Deliplus,Paquete,13 ud.,"10,65 €",Mercadona
