producto,marca,formato,cantidad,precio,supermercado
Tónica original,Schweppes,Lata,8 latas x 330 ml,"7,52 €",Mercadona
Tónica original,Schweppes,Lata,330 ml,"0,95 €",Mercadona
Tónica original,Schweppes,Botella,1 L,"1,90 €",Mercadona
Tónica original,Schweppes,Botellín,6 botellines x 200 ml,"4,80 €",Mercadona
Tónica original,Schweppes,Botellín,200 ml,"0,89 €",Mercadona
Tónica,Hacendado,Lata,6 latas x 330 ml,"2,22 €",Mercadona
Tónica,Hacendado,Lata,330 ml,"0,37 €",Mercadona
Tónica zero calorías,Schweppes,Lata,8 latas x 330 ml,"7,52 €",Mercadona
Tónica zero calorías,Schweppes,Lata,330 ml,"0,95 €",Mercadona
Tónica,Nordic Mist,Lata,8 latas x 250 ml,"4,40 €",Mercadona
Tónica,Nordic Mist,Lata,250 ml,"0,65 €",Mercadona
Tónica pink zero,Schweppes,Lata,8 latas x 330 ml,"7,52 €",Mercadona
Tónica pink zero,Schweppes,Lata,330 ml,"0,95 €",Mercadona
sin alcohol,Bitter Kas,Lata,330 ml,"0,99 €",Mercadona
