producto,marca,formato,cantidad,precio,supermercado
Magdalenas clásicas,El molino de Dia,Bolsa,515 g,"2,15 €",Dia
Croissants,El molino de Dia,Bolsa,390 g,"1,68 €",Dia
Croissants rellenos de cacao y avellanas,El molino de Dia,Bolsa,315 g,"1,62 €",Dia
Pan de leche,El molino de Dia,Bolsa,350 g,"1,89 €",Dia
Magdalenas valencianas,El molino de Dia,Bolsa,350 g,"1,25 €",Dia
Palmeritas,El molino de Dia,Bandeja,245 g,"1,22 €",Dia
Rosquillas glaseadas,El molino de Dia,Caja,208 g,"1,69 €",Dia
Bocaditos de cacao,Mandul,Bolsa,210 g,"1,25 €",Dia
Napolitanas rellenas de crema de cacao,El molino de Dia,Bolsa,270 g,"1,35 €",Dia
Rosquillas de chocolate,El molino de Dia,Bandeja,240 g,"1,79 €",Dia
Sobaos pequeños,El molino de Dia,Bolsa,340 g,"1,35 €",Dia
Ensaimadas,El molino de Dia,Bolsa,220 g,"1,19 €",Dia
Rosquillas de azúcar,Pelayo,Bolsa,250 g,"1,45 €",Dia
Mini brownies de chocolate,Dulcesol,Bolsa,125 g,"1,00 €",Dia
Hojaldre de Astorga,El molino de Dia,Bandeja,180 g,"1,29 €",Dia
Conchas de chocolate,Codan,Bolsa,330 g,"2,29 €",Dia
Palmeritas de cacao,El molino de Dia,Bolsa,230 g,"2,09 €",Dia
Bizcochos con huevo,Galleteca,Bolsa,400 g,"1,75 €",Dia
Bizcocho de mármol,El molino de Dia,Bolsa,350 g,"1,89 €",Dia
Chapelas de cacao,Dulcesol,Bolsa,135 g,"1,00 €",Dia
Magdalenas rellenas con crema de cacao,El molino de Dia,Bolsa,336 g,"1,69 €",Dia
Mini bollitos de cacao rellenos de crema,Phoskitos,Caja,130 g,"3,75 €",Dia
Sobaos,El molino de Dia,Bolsa,350 g,"1,39 €",Dia
Bollitos rellenos de leche,Phoskitos,Caja,160 g,"2,89 €",Dia
Vulcanitos sabor avellana,Dulcesol,Bolsa,143 g,"1,00 €",Dia
Cortadillos con crema de cacao,Inés Rosales,Bolsa,144 g,"1,99 €",Dia
Bizcocho con fruta confitada,Mandul,Bolsa,180 g,"1,55 €",Dia
Brownies Galactic,Jr Brownie,Bolsa,200 g,"1,99 €",Dia
Bocaditos,Dulcesol,Bolsa,243 g,"1,55 €",Dia
Rosquillas integrales,Pelayo,Bolsa,250 g,"1,65 €",Dia
Rollitos con chocolate,Fontaneda,Caja,150 g,"2,50 €",Dia
Magdalenas concha mármol,Arenas,Bolsa,165 g,"1,19 €",Dia
Delicias de coco  blister,El cateto,frasco,192 g,"1,95 €",Dia
Rondo clásico de naranja,Mandul,Bolsa,400 g,"2,79 €",Dia
Croissants rellenos de cacao y avellanas,Dulca,Bolsa,320 g,"2,19 €",Dia
Crêpes rellenos de cacao,Oh la france,Bolsa,192 g,"1,85 €",Dia
Lazos hojaldre de azúcar,Virgen del Brezo,Bolsa,180 g,"1,55 €",Dia
Gofre de azúcar,El molino de Dia,Bolsa,330 g,"2,35 €",Dia
