producto,marca,formato,cantidad,precio,supermercado
Sidra natural,Cortina,Botella,70 cl,"2,40 €",Dia
Cava semiseco,Grand astoria,Botella,75 cl,"2,95 €",Dia
Cava brut,Grand astoria,Botella,75 cl,"2,95 €",Dia
Vino rosado lambrusco,Dante,Botella,75 cl,"2,15 €",Dia
Sidra espumosa,Sidrallero,Botella,75 cl,"1,60 €",Dia
Sidra de manzana,Ladrón de manzanas,Botella,25 cl,"1,19 €",Dia
Cava brut nature,Grand astoria,Botella,75 cl,"3,95 €",Dia
Cava brut nature,Jaume Serra,Botella,75 cl,"4,25 €",Dia
Sidra,El gaitero,Botella,75 cl,"2,35 €",Dia
Cava,Codorníu,Botella,3 x 20 cl,"6,99 €",Dia
Cava reserva brut nature,Grand astoria,Botella,75 cl,"4,49 €",Dia
Sidra extra,El gaitero,Botella,75 cl,"3,05 €",Dia
Cava semiseco  Carta Nevada,Freixenet,Botella,75 cl,"6,95 €",Dia
Cava semiseco  Carta Nevada,Freixenet,Botella,3 x 20 cl,"6,95 €",Dia
Cava brut,Vía de la Plata,Botella,75 cl,"4,99 €",Dia
Cava brut  Anna,Codorníu,Botella,75 cl,"9,35 €",Dia
Cava brut  Cordón Negro,Freixenet,Botella,75 cl,"7,99 €",Dia
Sidra de manzana,The Good Cider,Botella,33 cl,"1,40 €",Dia
Cava brut nature  Anna,Codorníu,Botella,75 cl,"9,35 €",Dia
