producto,marca,formato,cantidad,precio,supermercado
Muesli extra,Gran Dia,Caja,500 g,"1,95 €",Dia
Copos de avena,Gran Dia,Caja,500 g,"1,00 €",Dia
Muesli crujiente con chocolate,Gran Dia,Caja,500 g,"2,10 €",Dia
Cereales rellenos de leche,Gran Dia,Caja,500 g,"2,50 €",Dia
Cereales rellenos con chocolate y avena,Gran Dia,Caja,500 g,"2,10 €",Dia
Cereales copos de maíz corn flakes,Gran Dia,Caja,500 g,"1,45 €",Dia
"Cereales copos de trigo, arroz y cebada con chocolate negro",Gran Dia,Caja,300 g,"1,88 €",Dia
Cereales copos de maíz corn flakes  Corn Flakes,Kellogg's,Caja,500 g,"3,00 €",Dia
Cereales de arroz inflado  Choco Krispies,Kellogg's,Caja,420 g,"3,55 €",Dia
Cereales de pétalos de trigo y chocolate,Gran Dia,Caja,500 g,"1,80 €",Dia
Cereales de trigo inflado con miel,Gran Dia,Caja,500 g,"1,95 €",Dia
Cereales integrales con chocolate  Chocapic,Nestlé,Caja,375 g,"3,19 €",Dia
Cereales copos de arroz y trigo integral cubiertos de chocolate,Gran Dia,Caja,300 g,"1,88 €",Dia
Barritas de cereales con chocolate con leche,Gran Dia,Caja,150 g,"1,49 €",Dia
Cereales de arroz inflado con chocolate,Gran Dia,Caja,500 g,"2,10 €",Dia
Cereales copos de arroz y trigo integral con frutos rojos,Gran Dia,Caja,300 g,"1,88 €",Dia
Barritas de cereales plátano y chocolate con leche,Gran Dia,Caja,150 g,"1,49 €",Dia
Cereales rellenos de cacao y avellana,Gran Dia,Caja,500 g,"2,10 €",Dia
Cereales copos de maíz tostados  Frosties,Kellogg's,Caja,400 g,"3,99 €",Dia
Cereales de bolas con chocolate,Gran Dia,Caja,500 g,"2,15 €",Dia
Barritas de cereales con chocolate nesquik,Nestlé,Caja,150 g,"2,99 €",Dia
Cereales integrales con chocolate negro  Fitness,Nestlé,Caja,375 g,"3,49 €",Dia
Barritas de cereales con chocolate con leche,Corny,Caja,150 g,"2,49 €",Dia
Cereales de trigo y maíz tostados con pepitas al cacao  Cookie Crisp,Nestlé,Caja,375 g,"3,59 €",Dia
"Cereales copos de arroz, trigo integral y cebada",Gran Dia,Caja,500 g,"2,09 €",Dia
Cereales copos de trigo integral y arroz con virutas de chocolate con leche  Special K,Kellogg's,Caja,335 g,"3,45 €",Dia
Barritas de cereales con chocolate negro  Special K,Kellogg's,Caja,129 g,"3,70 €",Dia
Cereales integrales con chocolate nesquik,Nesquik,Caja,375 g,"3,69 €",Dia
Cereales copos de trigo integral fibre flakes,Gran Dia,Caja,375 g,"1,79 €",Dia
Barritas de cereales chocolateadas  Choco Krispies,Kellogg's,Caja,120 g,"3,35 €",Dia
Barritas de cereales con avellanas,Gran Dia,Caja,150 g,"1,49 €",Dia
"Barritas de cereales con albaricoque, manzana y uvas pasas",Gran Dia,Caja,150 g,"1,49 €",Dia
Cereales integrales con chocolate  Fitness,Nestlé,Caja,375 g,"3,49 €",Dia
Cereales con frutas rojas  Special K,Kellogg's,Caja,300 g,"4,19 €",Dia
Cereales de copos de maíz con azúcar,Gran Dia,Caja,500 g,"2,05 €",Dia
Muesli crujiente con frutas,Gran Dia,Caja,500 g,"2,10 €",Dia
Muesli con frutas,Gran Dia,Bolsa,1 Kg,"2,30 €",Dia
Cereales de bolas de maíz con miel,Gran Dia,Caja,500 g,"2,35 €",Dia
Cereales copos de trigo con fruta y fibra,Gran Dia,Caja,500 g,"2,55 €",Dia
Barritas de cereales de bizcochitos con fruta y fibra  All-Bran,Kellogg's,Caja,240 g,"3,99 €",Dia
