producto,marca,formato,cantidad,precio,supermercado
Cereales rellenos de leche,Hacendado,Caja,500 g,"2,50 €",Mercadona
Mini cereales rellenos de leche,Hacendado,Caja,5 bolsitas (175 g),"1,90 €",Mercadona
Cereales rellenos de chocolate y avellana,Hacendado,Paquete,500 g,"2,10 €",Mercadona
Cereales estrellas de maíz  Hacendado con miel,Stars,Caja,400 g,"2,10 €",Mercadona
Cereales copos de maíz  Hacendado 0% azúcares añadidos,Corn Flakes,Caja,500 g,"1,50 €",Mercadona
Cereales de arroz inflado  Hacendado con chocolate,Choco Rice,Caja,500 g,"2,10 €",Mercadona
Cereales copos de maíz Pack,Corn Flakes Kellogg,Caja,500 g,"3,00 €",Mercadona
Cereales de arroz inflado Pack con chocolate,Choco Krispies Kellogg,Caja,420 g,"2,95 €",Mercadona
Cereales copos de trigo Chocodays  con chocolate,Hacendado,Caja,500 g,"1,80 €",Mercadona
Cereales copos de maíz  Harvest Home sin gluten,Corn Flakes,Caja,375 g,"2,59 €",Mercadona
Cereales rellenos de crema de cacao y avellana  sin gluten,Hacendado,Paquete,400 g,"2,25 €",Mercadona
Copos de avena,Brüggen,Caja,500 g,"0,90 €",Mercadona
Cereales copos de trigo integral y arroz,Special K Classic,Caja,450 g,"3,25 €",Mercadona
Muesli Crunchy  con chocolate,Hacendado,Paquete,500 g,"2,10 €",Mercadona
Cereales copos de trigo integral y arroz  0% azúcares añadidos,Hacendado,Caja,500 g,"2,00 €",Mercadona
Cereales copos de trigo espelta integral  0% azúcares añadidos,Hacendado,Paquete,400 g,"1,70 €",Mercadona
Cereales integrales copos de trigo  con chocolate,Chocapic Nestlé,Caja,625 g,"3,95 €",Mercadona
Muesli Crunchy  con frutos secos,Hacendado,Paquete,500 g,"2,10 €",Mercadona
Muesli Crunchy  0% azúcares añadidos 0% edulcorantes,Hacendado,Paquete,500 g,"2,00 €",Mercadona
Cereales copos de trigo integral y arroz  bañados en chocolate con leche,Hacendado,Caja,375 g,"2,35 €",Mercadona
Cereales copos tostados de trigo integral y arroz  con chocolate,Hacendado,Caja,425 g,"2,00 €",Mercadona
Cereales de trigo entero integral,Weetabix,Caja,430 g,"3,39 €",Mercadona
Muesli Crunchy  con fruta,Hacendado,Paquete,500 g,"2,10 €",Mercadona
Avena molida,Hacendado,Paquete,500 g,"1,11 €",Mercadona
Salvado de avena,Hacendado,Paquete,500 g,"1,65 €",Mercadona
Cereales y semillas granola  con frutos secos,Hacendado,Paquete,400 g,"2,40 €",Mercadona
Cereales con salvado de trigo Fibra Sticks,Hacendado,Caja,500 g,"1,80 €",Mercadona
Muesli  con frutas,Hacendado,Paquete,1 kg,"2,30 €",Mercadona
Muesli  50% frutas y frutos secos,Hacendado,Paquete,500 g,"1,95 €",Mercadona
Salvado de trigo integral,Hacendado,Paquete,250 g,"1,35 €",Mercadona
"Muesli  con quinoa, chía y chocolate negro",Hacendado,Paquete,400 g,"2,25 €",Mercadona
Cereales Cereal Mix  0% azúcares añadidos,Hacendado,Paquete,375 g,"2,40 €",Mercadona
Cereales avena Crunchy,Hacendado,Caja,400 g,"1,90 €",Mercadona
Cereales avena Crunchy  de cacao,Hacendado,Caja,400 g,"2,15 €",Mercadona
Barritas de cereales  chocolate con leche,Hacendado,Caja,6 barritas (120 g),"1,40 €",Mercadona
Barritas de cereales  con chocolate blanco,Hacendado,Caja,6 barritas (127 g),"1,30 €",Mercadona
Barritas de cereales muesli  con chocolate,Hacendado,Caja,6 barritas (138 g),"1,40 €",Mercadona
Barritas de cereales con frutos secos,Hacendado,Caja,6 barritas (150 g),"1,65 €",Mercadona
Barritas Sustitutivo de comida  sabor avena y chocolate con leche,Belladieta,Caja,4 barritas (120 g),"3,10 €",Mercadona
Barritas con proteínas  sabor coco y chocolate,Enervit Sport,Caja,3 barritas (120 g),"3,35 €",Mercadona
Barrita con proteínas  sabor chocolate negro,Enervit Sport,Caja,3 barritas (180 g),"5,15 €",Mercadona
Barritas de espelta  sabor manzana,Hacendado,Caja,6 barritas (120 g),"1,50 €",Mercadona
Barritas de avena  con chocolate negro,Hacendado,Caja,6 paquetes (252 g),"2,35 €",Mercadona
Barritas de galleta rellenas de arándanos,Hacendado,Caja,5 barritas (125 g),"1,50 €",Mercadona
Barritas 100% fruta de manzana y plátano,Hacendado,Caja,3 barritas (90 g),"1,75 €",Mercadona
Barritas de cereales  con cacahuetes sabor caramelo,Hacendado,Caja,4 barritas (138 g),"1,70 €",Mercadona
