producto,marca,formato,cantidad,precio,supermercado
Cerveza lager,Ramblers,Lata,12 x 33 cl,"3,72 €",Dia
Cerveza lager   plástico,Ramblers,Botella,1 l,"0,95 €",Dia
Cerveza clásica,Mahou,Lata,24 x 33 cl,"17,29 €",Dia
Cerveza,Mahou,Lata, 12 x 33 cl,"9,96 €",Dia
Cerveza lager,Ramblers,Lata,33 cl,"0,31 €",Dia
Cerveza,Amstel,Lata,12 x 33 cl,"8,52 €",Dia
Cerveza lager,Ramblers,Botella,6 x 25 cl,"2,09 €",Dia
Cerveza especial,Estrella Galicia,Lata,33 cl,"0,84 €",Dia
Cerveza especial,Ramblers,Lata,33 cl,"0,37 €",Dia
Cerveza,Mahou,Botella, 12 x 25 cl,"7,92 €",Dia
Cerveza clásica,Mahou,Lata,12 x 33 cl,"8,64 €",Dia
Cerveza,San Miguel,Lata,12 x 33 cl,"8,40 €",Dia
Cerveza clásica,Mahou,Lata,33 cl,"0,75 €",Dia
Cerveza especial,Alhambra,Botella,6 x 25 cl,"3,99 €",Dia
Cerveza lager,Ramblers,Botella,1 l,"1,05 €",Dia
Cerveza lager singular,Alhambra,Lata,33 cl,"0,89 €",Dia
Cerveza,Heineken,Lata,33 cl,"0,82 €",Dia
Cerveza rubia especial,Victoria,Lata,33 cl,"0,72 €",Dia
Cerveza lager,Ramblers,Lata,50 cl,"0,49 €",Dia
Cerveza especial,Ambar,Lata,50 cl,"1,29 €",Dia
Cerveza,Estrella damm,Lata,12 x 33 cl,"9,99 €",Dia
Cerveza,Estrella damm,Lata,33 cl,"0,85 €",Dia
Cerveza,San Miguel,Botella,12 x 25 cl,"6,35 €",Dia
Cerveza clásica,Mahou,Botella,12 x 25 cl,"6,48 €",Dia
Cerveza especial,Ambar,Lata,9 x 33 cl,"7,65 €",Dia
Cerveza tradicional,Alhambra,Lata,33 cl,"0,75 €",Dia
Cerveza,Amstel,Lata,33 cl,"0,75 €",Dia
Cerveza,San Miguel,Lata,50 cl,"1,09 €",Dia
Cerveza,Heineken,Botella,6 x 25 cl,"3,33 €",Dia
Cerveza sin filtrar,Mahou,Botella, 33 cl,"0,99 €",Dia
Cerveza rubia mexicana,Corona,Lata,6 x 33 cl,"6,60 €",Dia
Cerveza sin filtrar,El aguila,Lata,33 cl,"0,92 €",Dia
Cerveza dorada,El aguila,Botella,6 x 20 cl,"3,19 €",Dia
Cerveza sin filtrar,Mahou,Lata, 33 cl,"0,95 €",Dia
Cerveza artesana winter ale,Ramblers,Botella,75 cl,"1,79 €",Dia
Cerveza silver,Heineken,Lata,33 cl,"0,85 €",Dia
Cerveza especial,Alhambra,Botella,6 x 20 cl,"3,49 €",Dia
Cerveza,La salve,Lata,33 cl,"0,79 €",Dia
Cerveza rubia dorada,El aguila,Lata,10 x 33 cl,"8,29 €",Dia
Cerveza tostada,Amstel,Lata,10 x 33 cl,"8,29 €",Dia
Cerveza bohemia lager,La sagra,Lata,33 cl,"0,69 €",Dia
Cerveza especial,Cruzcampo,Botella,6 x 200 ml,"3,39 €",Dia
Cerveza,Mahou,Lata, 25 cl,"0,69 €",Dia
Cerveza rubia dorada,El aguila,Lata,33 cl,"0,85 €",Dia
Cerveza  Magna,San Miguel,Lata,12 x 33 cl,"9,49 €",Dia
Cerveza lager sin filtrar,El aguila,Botella,33 cl,"0,99 €",Dia
Cerveza magna  Magna,San Miguel,Lata,33 cl,"0,85 €",Dia
Cerveza sin gluten,Mahou,Botella, 33 cl,"1,19 €",Dia
Cerveza,Heineken,Lata,12 x 33 cl,"9,69 €",Dia
Cerveza sin gluten,Mahou,Lata,33 cl,"0,85 €",Dia
Cerveza,Sureña,Botella,1 l,"1,29 €",Dia
Cerveza tostada  Oro,Amstel,Lata,33 cl,"0,85 €",Dia
Cerveza,Amstel,Botella,6 x 25 cl,"3,09 €",Dia
Cerveza especial,Ambar,Botella,6 x 25 cl,"4,29 €",Dia
Cerveza especial,Ambar,Lata,33 cl,"0,85 €",Dia
Cerveza,Mahou,Lata, 33 cl,"0,85 €",Dia
Cerveza,Mahou,Botella, 6 x 25 cl,"4,05 €",Dia
Cerveza clásica,Amstel,Lata,33 cl,"0,45 €",Dia
Cerveza clásica,Mahou,Botella,1 l,"1,77 €",Dia
Cerveza,Amstel,Lata,50 cl,"1,09 €",Dia
Cerveza clásica,Mahou,Botella,6 x 25 cl,"3,49 €",Dia
Cerveza,San Miguel,Lata,33 cl,"0,75 €",Dia
Cerveza,San Miguel,Botella,6 x 25 cl,"3,49 €",Dia
Cerveza clásica,Mahou,Lata,50 cl,"1,09 €",Dia
Cerveza,Mahou,Lata, 50 cl,"1,29 €",Dia
