producto,marca,formato,cantidad,precio,supermercado
Cerveza radler con zumo de limón,Ramblers,Lata,33 cl,"0,40 €",Dia
Cerveza sabor limón shandy sin alcohol,Ramblers,Lata,33 cl,"0,35 €",Dia
Cerveza radler con limón,Amstel,Lata,12 x 33 cl,"8,99 €",Dia
Cerveza radler con limón,San Miguel,Lata,  33 cl,"0,70 €",Dia
Cerveza con limón,Shandy,Botella,6 x 25 cl,"3,19 €",Dia
Cerveza radler con limón,Amstel,Lata,33 cl,"0,79 €",Dia
Cerveza radler con limón,Amstel,Lata,  33 cl,"0,79 €",Dia
Cerveza con limón  Mixta,Mahou,Lata,33 cl,"0,79 €",Dia
Cerveza con limón,Shandy,Lata,33 cl,"0,85 €",Dia
Cerveza radler con limón,San Miguel,Lata,33 cl,"0,75 €",Dia
Cerveza con limón  Mixta,Mahou,Botella,6 x 25 cl,"3,79 €",Dia
Cerveza radler con limón,Mahou,Lata, 33 cl,"0,85 €",Dia
Cerveza radler con limón,Amstel,Lata,  12 x 33 cl,"8,99 €",Dia
Cerveza radler con limón natural mini  pack,La sagra,frasco,6 x 20 cl,"3,99 €",Dia
