producto,marca,formato,cantidad,precio,supermercado
Cerveza extra malta,Ramblers,Lata,33 cl,"0,53 €",Dia
Cerveza tostada,Ramblers,Lata,33 cl,"0,49 €",Dia
Cerveza de trigo,Ramblers,Botella,50 cl,"1,05 €",Dia
Cerveza muy suave,Ramblers,Botella,33 cl,"0,89 €",Dia
Cerveza,Ramblers,Lata,  33 cl,"0,45 €",Dia
Cerveza doble malta,Voll Damm,Lata,33 cl,"0,99 €",Dia
Cerveza mexicana,Corona,Botella,35.5 cl,"1,50 €",Dia
Cerveza reserva,Alhambra,Botella,  4 x 33 cl,"5,89 €",Dia
Cerveza reserva,Alhambra,Botella,  6 x 225 ml,"5,99 €",Dia
Cerveza con tequila,Desperados,Botella,33 cl,"1,49 €",Dia
Cerveza especial blue,Salitos,Botella,33 cl,"1,75 €",Dia
Cerveza,Franz,Botella,50 cl,"1,86 €",Dia
Cerveza especial negra,Ramblers,Lata,33 cl,"0,53 €",Dia
Cerveza de trigo alemana,Paulaner,Botella,50 cl,"1,99 €",Dia
Cerveza reserva especial,1906,Botella,6 x 33 cl,"7,29 €",Dia
Cerveza artesana,Ramblers,Botella,33 cl,"0,93 €",Dia
Cerveza tostada doble lúpulo  Maestra,Mahou,Lata,33 cl,"1,00 €",Dia
Cerveza rosé,Mahou,Lata,33 cl,"0,89 €",Dia
Cerveza artesana ipa,Ramblers,Botella,33 cl,"1,30 €",Dia
Cerveza,Budweiser,Botella,6 x 25 cl,"4,69 €",Dia
Cerveza,Ambar,Botella,  33 cl,"1,49 €",Dia
Cerveza,Budweiser,Lata,33 cl,"0,95 €",Dia
Cerveza tostada doble lúpulo  Maestra pack,Mahou,frasco,6 x 25 cl,"5,55 €",Dia
Cerveza ipa,Ambar,Lata,33 cl,"1,29 €",Dia
Cerveza rubia,Pilsner Urquell,Lata,33 cl,"1,39 €",Dia
Cerveza morena tostada suavemente,Ambar,Lata,33 cl,"0,95 €",Dia
Cerveza especial,La rubia,Botella,  33 cl,"1,17 €",Dia
Cerveza artesanal,Blue moon,Botella,33 cl,"1,69 €",Dia
Cerveza,Corona,Botella,  33 cl,"1,60 €",Dia
Cerveza ipa,Arriaca,Lata,33 cl,"1,75 €",Dia
Cerveza artesana all day ipa,Founders,Lata,33 cl,"1,89 €",Dia
Cerveza especial pink,Salitos,Botella,33 cl,"1,75 €",Dia
Cerveza artesana roja,Ramblers,Botella,33 cl,"1,05 €",Dia
Cerveza extra  Selecta,San Miguel,Botella,33 cl,"1,19 €",Dia
Cerveza especial extreme,8.6,Lata,50 cl,"1,45 €",Dia
Cerveza especial original,8.6,Lata,50 cl,"1,35 €",Dia
Cerveza rubia genuine draft,Miller,Botella,33 cl,"1,29 €",Dia
Cerveza especial indian ipa,La sagra,Botella,33 cl,"1,99 €",Dia
Cerveza ipa,Mahou,Lata,33 cl,"1,19 €",Dia
Cerveza brune,Leffe,Botella,33 cl,"2,19 €",Dia
Cerveza bourbon  Barrica,Mahou,Botella,33 cl,"2,35 €",Dia
Cerveza lager dunkel  Maestra,Mahou,Botella,33 cl,"1,45 €",Dia
Cerveza  Barrica,Mahou,Botella,33 cl,"1,99 €",Dia
Cerveza tostada doble lúpulo  Maestra,Mahou,Botella,33 cl,"1,39 €",Dia
Cerveza roja reserva,Alhambra,Botella,4 x 33 cl,"5,99 €",Dia
Cerveza mexicana,Coronita,Botella,6 x 21 cl,"5,69 €",Dia
Cerveza,Stella Artois,Botella,33 cl,"1,69 €",Dia
Cerveza red vintage,1906,Botella,6 x 33 cl,"7,55 €",Dia
Cerveza doble malta,Voll Damm,Botella,6 x 25 cl,"5,49 €",Dia
Cerveza especial sin gluten,Ambar,Botella,33 cl,"1,29 €",Dia
Cerveza extra  Selecta,San Miguel,Lata,33 cl,"1,00 €",Dia
Cerveza reserva especial,1906,Lata,33 cl,"1,09 €",Dia
