producto,marca,formato,cantidad,precio,supermercado
Cerveza,Ramblers,Lata,  33 cl,"0,35 €",Dia
Cerveza tostada,Ramblers,Lata,  33 cl,"0,48 €",Dia
Cerveza tostada,Mahou,Lata,  12 x 33 cl,"9,49 €",Dia
Cerveza,San Miguel,Lata,  33 cl,"0,69 €",Dia
Cerveza sin alcohol,Mahou,Lata,33 cl,"0,70 €",Dia
Cerveza tostada,Mahou,Lata,  33 cl,"0,85 €",Dia
Cerveza sabor limón shandy sin alcohol,Ramblers,Lata,33 cl,"0,35 €",Dia
Cerveza tostada,Mahou,Botella,  6 x 25 cl,"4,29 €",Dia
Cerveza sin alcohol,Mahou,Botella,6 x 25 cl,"2,89 €",Dia
Cerveza tostada,Amstel,Lata,  33 cl,"0,89 €",Dia
Cerveza radler con limón,Amstel,Lata,  33 cl,"0,79 €",Dia
Cerveza triple zero,Ambar,Lata,33 cl,"0,74 €",Dia
Cerveza,Corona,Botella,  33 cl,"1,60 €",Dia
Cerveza,San Miguel,Botella,  6 x 25 cl,"3,29 €",Dia
Cerveza tostada,San Miguel,Lata,  33 cl,"0,71 €",Dia
Cerveza radler con limón,San Miguel,Lata,  33 cl,"0,70 €",Dia
Cerveza tostada,Ambar,Lata,  33 cl,"0,79 €",Dia
Cerveza,Heineken,Lata,  33 cl,"0,85 €",Dia
Cerveza,Heineken,Lata,  12 x 33 cl,"9,69 €",Dia
Cerveza,Buckler,Lata,  33 cl,"0,79 €",Dia
Cerveza radler con limón,Amstel,Lata,  12 x 33 cl,"8,99 €",Dia
Malta,Pony,Lata,33 cl,"1,19 €",Dia
Cerveza,Amstel,Lata,  33 cl,"0,69 €",Dia
