producto,marca,formato,cantidad,precio,supermercado
Licor de hierbas,Ruavieja,Botella,70 cl,"10,29 €",Dia
Licor de crema whisky original,Baileys,Botella,70 cl,"15,49 €",Dia
Licor de anís dulce,Del mono,Botella,70 cl,"8,29 €",Dia
Licor de crema de orujo,Ruavieja,Botella,70 cl,"13,19 €",Dia
Licor de crema de orujo,Mourama,Botella,  70 cl,"6,49 €",Dia
Licor de crema whisky,Castle loan,Botella,70 cl,"6,00 €",Dia
Crema de limoncello,Alvini,Botella,  50 cl,"4,99 €",Dia
Licor de limoncello,Alvini,Botella,  50 cl,"4,89 €",Dia
Crema de fresa con tequila,Sargento Tequela,Botella,70 cl,"9,30 €",Dia
Licor de piruleta,Riska,Botella,70 cl,"5,99 €",Dia
Licor de hierbas,Mourama,Botella,  70 cl,"5,99 €",Dia
Licor de café,Mourama,Botella,  70 cl,"6,49 €",Dia
Pacharán,Gorzalka,Botella,1 l,"7,50 €",Dia
Licor de manzana sin alcohol,Soñador,Botella,70 cl,"2,49 €",Dia
Licor de anís dulce,La estepa,Botella,1 l,"7,20 €",Dia
Licor de hierbas,Jägermeister,Botella,70 cl,"14,49 €",Dia
Pacharán,Zoco,Botella,70 cl,"9,10 €",Dia
Licor de mora sin alcohol,Soñador,Botella,70 cl,"2,49 €",Dia
Licor de anís dulce,La castellana,Botella,70 cl,"9,25 €",Dia
Licor de avellanas,Frangelico,Botella,70 cl,"14,59 €",Dia
Licor de crema whisky light,Baileys,Botella,70 cl,"15,49 €",Dia
Licor de crema de cacao,La castellana,Botella,70 cl,"10,99 €",Dia
Whisky Tennessee apple,Jack Daniel's,Botella,70 cl,"23,25 €",Dia
Licor de ginebra,1902,Botella,70 cl,"7,99 €",Dia
Licor de anís dulce,Chinchon,Botella,1 l,"11,99 €",Dia
Licor de café,Abadía da Cova,Botella,70 cl,"10,35 €",Dia
