producto,marca,formato,cantidad,precio,supermercado
Aceite árbol del té 100% puro  con pipeta dosificadora,Deliplus,Bote,10 ml,"3,00 €",Mercadona
Colágeno soluble sabor limón,Colagen,Bote,250 g,"4,80 €",Mercadona
Barritas con proteínas  sabor coco y chocolate,Enervit Sport,Caja,3 barritas (120 g),"3,35 €",Mercadona
Comprimidos Vitaminas y Minerales,Deliplus,Caja,30 comprimidos (30 g),"3,00 €",Mercadona
Cápsulas Dormir,Deliplus,Caja,30 cápsulas (24 g),"3,95 €",Mercadona
Comprimidos efervescentes vitamina C y zinc  sabor limón,Deliplus,Tubo,20 ud. (80 g),"1,95 €",Mercadona
Barritas Sustitutivo de comida  sabor avena y chocolate con leche,Belladieta,Caja,4 barritas (120 g),"3,10 €",Mercadona
Gel energético con cafeína  sabor cítricos,Enervit Sport,Pack,3 ud. x 32 g,"3,60 €",Mercadona
Perlas Omega 3,Deliplus,Caja,60 cápsulas (48 g),"3,95 €",Mercadona
Cápsulas LaxForte,Deliplus,Caja,"30 cápsulas (16,35 g)","3,95 €",Mercadona
Cápsulas Valeriana,Deliplus,Caja,60 cápsulas (33 g),"4,15 €",Mercadona
Spray oral Própolis,Deliplus,Spray,20 ml,"3,60 €",Mercadona
Perlas Onagra,Deliplus,Caja,60 cápsulas (41 g),"4,30 €",Mercadona
Sticks Jalea Real y Própolis,Deliplus,Caja,12 sticks (120 ml),"4,95 €",Mercadona
Cápsulas Cola de caballo,Deliplus,Caja,30 cápsulas (16 g),"3,95 €",Mercadona
Cápsulas Alcachofa,Deliplus,Caja,30 cápsulas (16 g),"3,95 €",Mercadona
Cápsulas Memory Forte,Deliplus,Caja,"30 cápsulas (17,85 g)","3,95 €",Mercadona
Sticks infantiles Jalea Real  +3 años,Deliplus,Caja,12 sticks (120 ml),"4,95 €",Mercadona
Cápsulas Quemagrasas,Deliplus,Caja,"30 cápsulas (17,85 g)","3,95 €",Mercadona
Cápsulas  Antiox piel Deliplus,Colagen,Caja,30 cápsulas (18 g),"4,95 €",Mercadona
Cápsulas Articular Forte,Deliplus,Caja,"30 cápsulas (15,45 g)","4,20 €",Mercadona
Cápsulas Spirulina + vitamina B12,Deliplus,Caja,"60 cápsulas (32,7 g)","5,00 €",Mercadona
Perlas Sol,Deliplus,Caja,"30 cápsulas (15,02 g)","3,90 €",Mercadona
Cápsulas Menopausia,Deliplus,Caja,30 cápsulas (19 g),"4,50 €",Mercadona
Comprimidos efervescentes magnesio  300 mg sabor naranja,Deliplus,Tubo,20 ud. (78 g),"1,95 €",Mercadona
Comprimidos cabello y uñas,Deliplus,Caja,"30 comprimidos (26,55 g)","3,95 €",Mercadona
Barrita con proteínas  sabor chocolate negro,Enervit Sport,Caja,3 barritas (180 g),"5,15 €",Mercadona
Cápsulas Gases,Deliplus,Caja,30 cápsulas (17 g),"4,50 €",Mercadona
Cápsulas Probiótico,Deliplus,Caja,"30 cápsulas (17,85 g)","5,95 €",Mercadona
Aceite de Ricino,Deliplus,Bote,30 ml,"3,95 €",Mercadona
