producto,marca,formato,cantidad,precio,supermercado
Fresón,Dia,Bandeja,500 g,"1,99 €",Dia
Fresón,Dia,Bandeja,1 Kg,"2,99 €",Dia
Melón piel de sapo unidad aprox.,Dia,Unidad,2.5 Kg,"4,98 €",Dia
Medio melón piel de sapo unidad aprox.,Dia,Unidad,1.25 Kg,"2,74 €",Dia
Níspero,Dia,Bandeja,500 g,"2,69 €",Dia
Media sandía rayada unidad aprox.,Dia,Unidad,2 Kg,"3,18 €",Dia
Sandía rayada unidad aprox.,Dia,Unidad,4 Kg,"5,96 €",Dia
Media sandía  unidad aprox.,Dia,Selección,2.5 Kg,"5,48 €",Dia
Melón  unidad aprox.,Dia,Selección,3.2 Kg,"7,97 €",Dia
Melón bollo unidad aprox.,Dia,Unidad,3 Kg,"7,77 €",Dia
Medio melón  unidad aprox.,Dia,Selección,1.6 Kg,"4,14 €",Dia
