producto,marca,formato,cantidad,precio,supermercado
Aguacate,Dia,Bandeja,450 g,"1,69 €",Dia
Kiwi,Dia,Bandeja,700 g,"2,29 €",Dia
Mango,Dia,Bandeja,650 g,"2,59 €",Dia
Guacamole,Al Punto Dia,Tarrina,200 g,"1,69 €",Dia
Aguacate,Dia,Granel,750 g,"3,74 €",Dia
Kiwi,Zespri,Bandeja,500 g,"2,99 €",Dia
Coco troceado bio,Dia,Bolsa,56 g,"0,95 €",Dia
Kiwi,Dia,Selección,1 unidad,"0,55 €",Dia
Piña gold premium unidad aprox.,Dia,unidad,2 Kg,"4,38 €",Dia
Mango,Dia,unidad,1 unidad,"1,99 €",Dia
Pulpa aguacate,Al Punto Dia,Tarrina,125 g,"1,45 €",Dia
Aguacate bio,Dia,Bandeja,400 g,"2,79 €",Dia
Guacamole,Al Punto Dia,Tarrina,400 g,"2,95 €",Dia
Piña Baby,Dia,unidad,1 unidad,"2,00 €",Dia
