producto,marca,formato,cantidad,precio,supermercado
Galletas rellenas de crema de chocolate,Galleteca,Paquete,500 g,"1,20 €",Dia
Galletas dorada maría,Galleteca,Paquete,800 g,"1,55 €",Dia
Galletas relieve,Galleteca,Caja,735 g,"1,69 €",Dia
Galletas maría,Galleteca,Paquete,800 g,"1,55 €",Dia
Galletas de desayuno  Tostarica,Cuétara,Caja,570 g,"2,99 €",Dia
Galletas de cereales con vitaminas  Dinosaurus,Artiach,Caja,411 g,"3,49 €",Dia
Galleta rellena de crema de chocolate,Principe,Paquete,3 x 300 g,"5,59 €",Dia
Galletas tostaditas,Galleteca,Caja,600 g,"1,60 €",Dia
Galletas de desayuno la buena maría,Fontaneda,Caja,800 g,"3,30 €",Dia
Galletas de cacao rellenas de crema,Galleteca,Caja,220 g,"0,77 €",Dia
Galletas digestive con chocolate,Galleteca,Paquete,300 g,"1,05 €",Dia
Galletas cubiertas de chocolate con leche,Galleteca,Caja,150 g,"1,25 €",Dia
Roscos de galleta con chocolate blanco chocoaros,Galleteca,Bolsa,128 g,"0,75 €",Dia
Mini galletas con pepitas de chocolate,Galleteca,Caja,160 g,"1,30 €",Dia
Galletas con pepitas de chocolate,Galleteca,Bolsa,225 g,"1,15 €",Dia
Galletas con canela  Napolitanas,Cuétara,Caja,426 g,"2,79 €",Dia
Galletas digestive,Galleteca,Caja,800 g,"1,75 €",Dia
Galletas integrales maría,Galleteca,Caja,800 g,"1,60 €",Dia
Galletas tostadas,Galleteca,Paquete,800 g,"1,55 €",Dia
Galletas de cacao rellenas de crema bañadas con chocolate con leche,Galleteca,Caja,252 g,"1,39 €",Dia
Roscos de galleta con chocolate con leche chocoaros,Galleteca,Bolsa,128 g,"0,75 €",Dia
Galletas digestive con avena y chocolate,Gullón,Caja,425 g,"2,19 €",Dia
Galletas digestive con chocolate con leche,Fontaneda,Caja,300 g,"3,70 €",Dia
Galletas digestive sin azúcares,Gullón,Caja,400 g,"2,65 €",Dia
Galletas chip choco con pepitas de chocolate sin azúcares,Gullón,Bolsa,125 g,"2,05 €",Dia
Galletas palets de mantequilla,St Michel,Caja,150 g,"1,95 €",Dia
Galletas integrales  Active,Gullón,Paquete,280 g,"1,59 €",Dia
Galletas doradas al horno sin azúcares,Gullón,Caja,330 g,"3,29 €",Dia
Galletas con chocolate rellenas de naranja,Galleteca,Caja,300 g,"1,69 €",Dia
Galletas  Campurrianas,Cuétara,Caja,755 g,"3,99 €",Dia
Galletas cubiertas de chocolate negro,Galleteca,Caja,150 g,"1,25 €",Dia
Mini galletas de cacao rellenas de crema,Oreo,Caja,160 g,"1,99 €",Dia
Galletas chocolateadas Los Simpsons,Arluy,Bolsa,400 g,"2,95 €",Dia
Galletas rellenas de caramelo,Doña delicia,Bolsa,40 g,"0,60 €",Dia
Galletas al horno,Marbú,Caja,400 g,"2,85 €",Dia
Galletas rellenas de chocolate y crema choco guay  Tostarica,Cuétara,Caja,168 g,"2,45 €",Dia
Galletas de desayuno,Artiach,Caja,  525 g,"3,85 €",Dia
Galletas  María Oro,Cuétara,Bolsa,600 g,"3,39 €",Dia
Galletas con chocolate  Campurrianas,Cuétara,Caja,450 g,"3,89 €",Dia
Galletas a cucharadas ositos sabor choco  Chiquilin,Artiach,Caja,320 g,"3,49 €",Dia
Galletas de cereales con chocolate blanco  Dinosaurus,Artiach,Caja,264 g,"2,99 €",Dia
Galletas choco leche  Dinosaurus,Artiach,Caja,255 g,"2,99 €",Dia
Galletas de desayuno  Chiquilin,Artiach,Caja,525 g,"3,65 €",Dia
Galletas de cacao Patrulla Canina,Nickelodeon,Bolsa,150 g,"1,59 €",Dia
Galletas con pepitas de chocolate oceanix  Tostarica,Cuétara,Caja,400 g,"3,99 €",Dia
Barquillos,Mels,Bote,150 g,"1,95 €",Dia
Conos de helado,Mels,Bote,110 g,"1,95 €",Dia
Galletas de corte para helado,Mels,Caja,35 g,"0,49 €",Dia
Galleta bañada en chocolate  Tostarica,Cuétara,Caja,210 g,"2,69 €",Dia
Galletas saladas con semillas de chía,Biscuits Galicia,Bolsa,200 g,"2,09 €",Dia
Galletas digestive avena y chocolate,Gullón,Bolsa,150 g,"2,29 €",Dia
Mini galletas digestive de chocolate con leche,Gullón,Bolsa,160 g,"1,20 €",Dia
Mini galletas digestive con avena y chocolate,Gullón,Bolsa,160 g,"1,20 €",Dia
