producto,marca,formato,cantidad,precio,supermercado
Galletas  Hacendado,María dorada,Paquete,4 ud. (800 g),"1,55 €",Mercadona
Galletas,Divertidas con cereales Hacendado,Caja,10 paquetes (411 g),"2,05 €",Mercadona
Galletas tostadas,Tosta Rica,Caja,3 paquetes (570 g),"3,00 €",Mercadona
Galletas tostadas,Animadas Hacendado,Paquete,3 ud. (600 g),"1,60 €",Mercadona
Galletas tostadas,Hacendado,Paquete,4 ud. (800 g),"1,55 €",Mercadona
Galletas,Relieve Hacendado,Paquete,3 ud. (645 g),"1,50 €",Mercadona
Galletas  Hacendado 0% azúcares añadidos,María dorada,Caja,2 paquetes (400 g),"1,55 €",Mercadona
Galletas María,Fontaneda,Caja,4 paquetes (800 g),"3,30 €",Mercadona
Galletas tradicionales,Hacendado,Caja,2 paquetes (600 g),"2,15 €",Mercadona
Galletas María,Hacendado,Paquete,4 ud. (800 g),"1,55 €",Mercadona
Galletas canela,Hacendado,Caja,2 paquetes (500 g),"1,60 €",Mercadona
Galletas Digestive,Hacendado,Paquete,2 ud. (800 g),"1,75 €",Mercadona
Galletas Digestive avena,Hacendado,Paquete,425 g,"1,15 €",Mercadona
Galletas Digestive 0% azúcares añadidos,Hacendado,Paquete,400 g,"1,45 €",Mercadona
Galletas Cereales & fibra,Hacendado,Paquete,285 g,"1,25 €",Mercadona
Galletas de espelta  0% azúcares añadidos,Hacendado,Paquete,200 g,"1,25 €",Mercadona
Galletas Digestive fibra 23%,Hacendado,Paquete,400 g,"1,70 €",Mercadona
Galletas María Integral,Hacendado,Paquete,4 ud. (800 g),"1,60 €",Mercadona
Galletas Digestive avena,Hacendado,Caja,8 paquetes (384 g),"1,85 €",Mercadona
Galletas Cookies,Hacendado,Paquete,225 g,"1,10 €",Mercadona
Galletas  rellenas de chocolate,Rebuenas Hacendado,Paquete,500 g,"1,20 €",Mercadona
Galletas,mini Oreo,Caja,4 paquetes (160 g),"2,00 €",Mercadona
Galletas  sabor chocolate Hacendado,Chocominis,Caja,500 g,"1,95 €",Mercadona
Galletas Digestive chocolate con leche,Hacendado,Paquete,300 g,"1,05 €",Mercadona
Galletas Roditas bañadas con chocolate blanco,Hacendado,Caja,4 paquetes (300 g),"1,75 €",Mercadona
Galletas mini caritas  con crema de cacao,Hacendado,Caja,8 paquetes (329 g),"1,35 €",Mercadona
Galletas  Hacendado rellenas de crema,Caocream,Caja,10 paquetes (440 g),"1,55 €",Mercadona
Galletas Choco negro con chocolatina,Hacendado,Caja,4 paquetes (150 g),"1,25 €",Mercadona
Barritas de galleta bañadas en chocolate con leche,Chips Ahoy,Caja,5 barritas (140 g),"1,25 €",Mercadona
Galletas mini cookies,Hacendado,Caja,4 paquetes (160 g),"1,30 €",Mercadona
Galletas con chocolate y crema de leche,Hacendado,Caja,8 paquetes (268 g),"2,30 €",Mercadona
Galletas  chocolate blanco Hacendado rellenas de crema,Caocream,Caja,6 paquetes (252 g),"1,35 €",Mercadona
Galletas rellenas de chocolate  0% azúcares añadidos,Hacendado,Paquete,250 g,"1,40 €",Mercadona
Barquillos rellenos sabor nata,Hacendado,Paquete,210 g,"1,00 €",Mercadona
Barquillos rellenos de chocolate,Hacendado,Paquete,210 g,"1,00 €",Mercadona
Galletas con chocolate blanco,Hacendado,Caja,6 paquetes (236 g),"1,25 €",Mercadona
Galletas Digestive avena chocolate con leche,Hacendado,Paquete,280 g,"1,30 €",Mercadona
Barquillos rellenos de nata  0% azúcares añadidos,Hacendado,Paquete,210 g,"1,10 €",Mercadona
Galletas cookies sin gluten y sin lactosa,Hacendado,Paquete,200 g,"1,95 €",Mercadona
Galletas Choco leche con chocolatina,Hacendado,Caja,4 paquetes (150 g),"1,25 €",Mercadona
Galletas María choco,Hacendado,Paquete,265 g,"1,10 €",Mercadona
Tartaletes con relleno de fresa,Hacendado,Paquete,150 g,"1,05 €",Mercadona
Barquillos con crema de avellanas,Hacendado,Paquete,250 g,"1,50 €",Mercadona
Galletas Diverkao,Hacendado,Caja,8 paquetes (312 g),"1,55 €",Mercadona
Tubitos bañados chocolate negro,Hacendado,Bote,150 g,"2,10 €",Mercadona
Rosquillas de chocolate con leche y coco,Hacendado,Caja,300 g,"1,65 €",Mercadona
Galletas,Crunchy Choc Hacendado,Caja,520 g,"2,55 €",Mercadona
Galletas Divertidas chocolate con leche,Hacendado,Caja,6 paquetes (251 g),"2,00 €",Mercadona
Galletas Choco con relleno de crema de cacao  recubiertas de chocolate con leche,Hacendado,Paquete,145 g,"1,60 €",Mercadona
Galletas Cream Cookies,Hacendado,Paquete,160 g,"1,45 €",Mercadona
Galletas caramelizadas,Lotus Biscoff,Paquete,12 ud. (186 g),"1,50 €",Mercadona
Galletas con mantequilla,Hacendado,Caja,125 g,"1,05 €",Mercadona
Surtido de galletas y barquillos,Hacendado,Paquete,500 g,"2,15 €",Mercadona
Galletas de mantequilla y chocolate,Hacendado,Caja,340 g,"2,85 €",Mercadona
Galletas de mantequilla  Belgas,Hacendado,Caja,6 paquetes (180 g),"1,60 €",Mercadona
Surtido de pastas artesanas,Hacendado,Caja,1 bandeja (500 g),"2,30 €",Mercadona
Obleas redondas,Hacendado,Paquete,24 ud. (255 g),"2,45 €",Mercadona
Obleas para helado,Hacendado,Paquete,24 ud. (52 g),"0,70 €",Mercadona
Tubitos,Hacendado,Bote,175 g,"2,00 €",Mercadona
