producto,marca,formato,cantidad,precio,supermercado
Ginebra,Larios,Botella,1 l,"12,99 €",Dia
Ginebra london dry,Beefeater,Botella,70 cl,"13,95 €",Dia
Ginebra,Seagram's,Botella,70 cl,"16,45 €",Dia
Vodka cinco destilaciones,Mikanoff,Botella,1 l,"6,70 €",Dia
Vodka,Absolut,Botella,70 cl,"14,99 €",Dia
Ginebra,Barmon's,Botella,70 cl,"5,99 €",Dia
Ginebra sabor fresa,Barmon's,Botella,70 cl,"7,70 €",Dia
Vodka con sabor a caramelo,Mikanoff,Botella,70 cl,"5,69 €",Dia
Ginebra London dry,Tanqueray,Botella,70 cl,"17,49 €",Dia
Ginebra sabor fresa,Puerto de Indias,Botella,70 cl,"16,45 €",Dia
Ginebra,Nordes,Botella,70 cl,"26,49 €",Dia
Bebida sin alcohol,Seagram's,Botella, 1 l,"12,39 €",Dia
Ginebra premium,Larios,Botella, 70 cl,"16,55 €",Dia
Ginebra,Bombay,Botella,70 cl,"19,95 €",Dia
Ginebra,Gordon's,Botella,70 cl,"10,99 €",Dia
Ginebra cítrica,Barmon's,Botella,70 cl,"8,49 €",Dia
Ginebra sabor fresa  Rosé,Larios,Botella,70 cl,"16,55 €",Dia
Bebida espirituosa sin alcohol,Tanqueray,Botella,  70 cl,"15,99 €",Dia
Vodka,Eristoff,Botella,70 cl,"11,29 €",Dia
Vodka,Smirnoff,Botella,70 cl,"11,29 €",Dia
Ginebra con sabor a limón mediterráneo,Bombay,Botella,70 cl,"21,95 €",Dia
Pink vodka,Eristoff,Botella,70 cl,"11,99 €",Dia
Ginebra,Narisara,Botella,70 cl,"8,99 €",Dia
Ginebra japonesa,Roku,Botella,70 cl,"24,99 €",Dia
Ginebra nº ten,Tanqueray,frasco,0.7 l,"33,99 €",Dia
Ginebra,Bulldog,Botella,70 cl,"23,99 €",Dia
Vodka,Finlandia,Botella,70 cl,"14,99 €",Dia
Vodka,Moskovskaya,Botella,70 cl,"10,89 €",Dia
