producto,marca,formato,cantidad,precio,supermercado
Huevos super grandes XL,Hacendado,Paquete,12 ud.,"3,25 €",Mercadona
Huevos grandes L,Hacendado,Paquete,12 ud.,"2,20 €",Mercadona
Huevos grandes L,Hacendado,Paquete,6 ud.,"1,20 €",Mercadona
Huevos medianos M,Hacendado,Paquete,12 ud.,"2,00 €",Mercadona
Huevos de gallinas camperas,Hacendado,Paquete,12 ud.,"2,62 €",Mercadona
Huevos de gallinas camperas,Hacendado,Paquete,6 ud.,"1,59 €",Mercadona
Huevos cocidos,Hacendado,Paquete,6 ud.,"1,60 €",Mercadona
Huevos de codorniz,Hacendado,Paquete,18 ud.,"1,65 €",Mercadona
Claras de huevo líquidas pasteurizadas,Hacendado,Botella,1 L,"2,60 €",Mercadona
Claras de huevo líquidas pasteurizadas,Hacendado,Botella,300 ml,"1,55 €",Mercadona
Huevos,Hacendado,Paquete,24 ud.,"3,80 €",Mercadona
