producto,marca,formato,cantidad,precio,supermercado
Leche semidesnatada,Hacendado,Minipack,6 bricks x 1 L,"4,98 €",Mercadona
Leche semidesnatada,Hacendado,Brick,1 L,"0,83 €",Mercadona
Leche semidesnatada,Hacendado,Minipack,6 mini bricks x 200 ml,"1,53 €",Mercadona
Leche semidesnatada,Hacendado,Minipack,"6 botellas x 1,5 L","8,46 €",Mercadona
Leche semidesnatada,Hacendado,Botella,"1,5 L","1,41 €",Mercadona
Leche semidesnatada sin lactosa,Hacendado,Minipack,6 bricks x 1 L,"5,46 €",Mercadona
Leche semidesnatada sin lactosa,Hacendado,Brick,1 L,"0,91 €",Mercadona
Leche semidesnatada sin lactosa,Hacendado,Minipack,6 mini bricks x 200 ml,"1,69 €",Mercadona
Leche semidesnatada calcio,Hacendado,Minipack,6 bricks x 1 L,"5,76 €",Mercadona
Leche semidesnatada calcio,Hacendado,Brick,1 L,"0,96 €",Mercadona
Leche semidesnatada,Asturiana,Minipack,"6 botellas x 1,5 L","10,50 €",Mercadona
Leche semidesnatada,Asturiana,Botella,"1,5 L","1,75 €",Mercadona
Leche semidesnatada calcio,Puleva,Minipack,6 bricks x 1 L,"8,94 €",Mercadona
Leche semidesnatada calcio,Puleva,Brick,1 L,"1,49 €",Mercadona
Bebida láctea semidesnatada con fibra,Hacendado,Minipack,6 bricks x 1 L,"7,50 €",Mercadona
Bebida láctea semidesnatada con fibra,Hacendado,Brick,1 L,"1,25 €",Mercadona
Leche semidesnatada de cabra,Hacendado,Minipack,6 bricks x 1 L,"10,80 €",Mercadona
Leche semidesnatada de cabra,Hacendado,Brick,1 L,"1,80 €",Mercadona
Leche semidesnatada fresca,Hacendado,Botella,1 L,"1,04 €",Mercadona
Leche semidesnatada sin lactosa,Hacendado,Minipack,"6 botellas x 1,5 L","9,18 €",Mercadona
Leche semidesnatada sin lactosa,Hacendado,Botella,"1,5 L","1,53 €",Mercadona
Leche semidesnatada,Puleva,Minipack,6 bricks x 1 L,"6,00 €",Mercadona
Leche semidesnatada,Puleva,Minipack,1 L,"1,00 €",Mercadona
Leche desnatada,Hacendado,Minipack,6 bricks x 1 L,"4,80 €",Mercadona
Leche desnatada,Hacendado,Brick,1 L,"0,80 €",Mercadona
Leche desnatada sin lactosa,Hacendado,Minipack,6 bricks x 1 L,"5,28 €",Mercadona
Leche desnatada sin lactosa,Hacendado,Brick,1 L,"0,88 €",Mercadona
Leche desnatada calcio,Hacendado,Minipack,6 bricks x 1 L,"5,58 €",Mercadona
Leche desnatada calcio,Hacendado,Brick,1 L,"0,93 €",Mercadona
Leche desnatada,Hacendado,Minipack,"6 botellas x 1,5 L","8,28 €",Mercadona
Leche desnatada,Hacendado,Botella,"1,5 L","1,38 €",Mercadona
Bebida láctea Omega 3  con leche desnatada,Puleva,Minipack,6 bricks x 1 L,"9,54 €",Mercadona
Bebida láctea Omega 3  con leche desnatada,Puleva,Brick,1 L,"1,59 €",Mercadona
Leche desnatada calcio,Puleva,Minipack,6 bricks x 1 L,"8,94 €",Mercadona
Leche desnatada calcio,Puleva,Brick,1 L,"1,49 €",Mercadona
Bebida láctea desnatada omega 3,Hacendado,Minipack,6 bricks x 1 L,"6,60 €",Mercadona
Bebida láctea desnatada omega 3,Hacendado,Brick,1 L,"1,10 €",Mercadona
Bebida láctea Omega 3  con nueces y leche desnatada,Puleva,Minipack,6 bricks x 1 L,"9,54 €",Mercadona
Bebida láctea Omega 3  con nueces y leche desnatada,Puleva,Brick,1 L,"1,59 €",Mercadona
Leche en polvo desnatada,Hacendado,Paquete,700 g,"5,20 €",Mercadona
Leche +Proteínas desnatada,Hacendado,Minipack,6 bricks x 1 L,"7,50 €",Mercadona
Leche +Proteínas desnatada,Hacendado,Brick,1 L,"1,25 €",Mercadona
Leche desnatada,Puleva,Minipack,6 bricks x 1 L,"6,00 €",Mercadona
Leche desnatada,Puleva,Brick,1 L,"1,00 €",Mercadona
Leche entera,Hacendado,Minipack,6 bricks x 1 L,"5,46 €",Mercadona
Leche entera,Hacendado,Brick,1 L,"0,91 €",Mercadona
Leche entera,Hacendado,Minipack,6 mini bricks x 200 ml,"1,60 €",Mercadona
Leche entera,Asturiana,Minipack,"6 botellas x 1,5 L","10,68 €",Mercadona
Leche entera,Asturiana,Botella,"1,5 L","1,78 €",Mercadona
Leche entera sin lactosa,Hacendado,Minipack,6 bricks x 1 L,"5,94 €",Mercadona
Leche entera sin lactosa,Hacendado,Brick,1 L,"0,99 €",Mercadona
Leche entera,Hacendado,Minipack,"6 botellas x 1,5 L","8,82 €",Mercadona
Leche entera,Hacendado,Botella,"1,5 L","1,47 €",Mercadona
Leche entera calcio,Hacendado,Minipack,6 bricks x 1 L,"6,60 €",Mercadona
Leche entera calcio,Hacendado,Brick,1 L,"1,10 €",Mercadona
Leche entera fresca,Hacendado,Botella,1 L,"1,05 €",Mercadona
Leche entera,Puleva,Minipack,6 bricks x 1 L,"6,00 €",Mercadona
Leche entera,Puleva,Minipack,1 L,"1,00 €",Mercadona
Bebida de avena,Alitey,Minipack,6 bricks x 1 L,"5,70 €",Mercadona
Bebida de avena,Alitey,Brick,1 L,"0,95 €",Mercadona
Bebida de avena,Alitey,Minipack,3 mini bricks x 250 ml,"1,50 €",Mercadona
Bebida de avena sin azúcares añadidos,Hacendado,Minipack,6 bricks x 1 L,"7,20 €",Mercadona
Bebida de avena sin azúcares añadidos,Hacendado,Brick,1 L,"1,20 €",Mercadona
Bebida de soja con calcio y vitaminas,Hacendado,Minipack,6 bricks x 1 L,"4,20 €",Mercadona
Bebida de soja con calcio y vitaminas,Hacendado,Brick,1 L,"0,70 €",Mercadona
Bebida de soja 0% azúcares,Hacendado,Minipack,6 bricks x 1 L,"4,80 €",Mercadona
Bebida de soja 0% azúcares,Hacendado,Brick,1 L,"0,80 €",Mercadona
Bebida de almendras zero,Hacendado,Minipack,6 bricks x 1 L,"7,80 €",Mercadona
Bebida de almendras zero,Hacendado,Brick,1 L,"1,30 €",Mercadona
Bebida de arroz sin azúcares añadidos,Hacendado,Minipack,6 bricks x 1 L,"6,60 €",Mercadona
Bebida de arroz sin azúcares añadidos,Hacendado,Brick,1 L,"1,10 €",Mercadona
Bebida de soja sabor café sin azúcares añadidos,Hacendado,Minipack,6 bricks x 1 L,"7,50 €",Mercadona
Bebida de soja sabor café sin azúcares añadidos,Hacendado,Brick,1 L,"1,25 €",Mercadona
Bebida de almendras,Hacendado,Minipack,6 bricks x 1 L,"7,50 €",Mercadona
Bebida de almendras,Hacendado,Brick,1 L,"1,25 €",Mercadona
Leche de coco,Dee Thai,Bote,400 ml,"1,40 €",Mercadona
Bebida de coco y arroz sin azúcares añadidos,Hacendado,Minipack,6 bricks x 1 L,"9,00 €",Mercadona
Bebida de coco y arroz sin azúcares añadidos,Hacendado,Brick,1 L,"1,50 €",Mercadona
Bebida de chufa  sin azúcares añadidos,Hacendado,Brick,1 L,"1,50 €",Mercadona
Horchata de chufa,Hacendado,Brick,1 L,"1,20 €",Mercadona
Bebida de avena con café,Hacendado,Vaso,250 ml,"0,90 €",Mercadona
Bebida de avellana y arroz sin azúcares añadidos,Hacendado,Minipack,6 bricks x 1 L,"7,80 €",Mercadona
Bebida de avellana y arroz sin azúcares añadidos,Hacendado,Brick,1 L,"1,30 €",Mercadona
Bebida de soja sabor vainilla  0% azúcar,Hacendado,Minipack,6 bricks x 1 L,"6,60 €",Mercadona
Bebida de soja sabor vainilla  0% azúcar,Hacendado,Brick,1 L,"1,10 €",Mercadona
Bebida de avena  0% azúcar,Hacendado,Minipack,6 bricks x 1 L,"4,80 €",Mercadona
Bebida de avena  0% azúcar,Hacendado,Brick,1 L,"0,80 €",Mercadona
Bebida de avena con chocolate  sin azucares añadidos,Hacendado,Minipack,6 bricks x 1 L,"7,20 €",Mercadona
Bebida de avena con chocolate sin azúcares añadidos,Hacendado,Brick,1 L,"1,20 €",Mercadona
Bebida de avena con chocolate sin azúcares añadidos,Hacendado,Minipack,3 mini bricks x 250 ml,"1,55 €",Mercadona
Batido de chocolate,Hacendado,Minipack,6 mini bricks x 200 ml,"1,40 €",Mercadona
Batido de chocolate,Hacendado,Botella,1 L,"1,20 €",Mercadona
Batido de chocolate 90% leche,Hacendado,Botella,1 L,"1,35 €",Mercadona
