producto,marca,formato,cantidad,precio,supermercado
Mantequilla Tradicional,Asturiana,Tarrina,250 g,"3,55 €",Mercadona
Mantequilla sin sal añadida,Hacendado,Pastilla,250 g,"1,90 €",Mercadona
Mantequilla en porciones  sin sal añadida,Hacendado,Minipack,"12 ud. x 12,5 g","1,90 €",Mercadona
Mantequilla con sal,Hacendado,Pastilla,250 g,"1,90 €",Mercadona
Mantequilla con sal,Hacendado,Tarrina,250 g,"2,45 €",Mercadona
Mantequilla light,Hacendado,Tarrina,250 g,"2,10 €",Mercadona
Mantequilla sin lactosa,Hacendado,Tarrina,250 g,"2,60 €",Mercadona
Manteca de cerdo Mont-Palau para cocinar,Hacendado,Tarrina,400 g,"2,30 €",Mercadona
Margarina,Hacendado,Tarrina,500 g,"1,45 €",Mercadona
Margarina  Original,Tulipán,Tarrina,400 g,"2,85 €",Mercadona
Margarina con sal,Hacendado,Tarrina,500 g,"1,45 €",Mercadona
Margarina ligera,Hacendado,Tarrina,500 g,"1,40 €",Mercadona
Margarina,Flora Proactiv,Tarrina,225 g,"2,95 €",Mercadona
Margarina con sal,Tulipán,Tarrina,400 g,"2,85 €",Mercadona
Margarina 100% vegetal,Hacendado,Tarrina,250 g,"1,60 €",Mercadona
Margarina,Flora Original,Tarrina,400 g,"2,95 €",Mercadona
Nata ligera para cocinar,Hacendado,Minipack,3 mini bricks x 200 ml,"1,75 €",Mercadona
Nata ligera para cocinar,Hacendado,Brick,500 ml,"1,45 €",Mercadona
Nata montada azucarada,Hacendado,Spray,250 g,"1,65 €",Mercadona
Nata para montar,Hacendado,Brick,500 ml,"1,65 €",Mercadona
Nata para montar,Hacendado,Minipack,3 mini bricks x 200 ml,"1,95 €",Mercadona
Nata fresca para cocinar,Hacendado,Tarrina,200 ml,"1,20 €",Mercadona
Leche evaporada,Hacendado,Minipack,3 mini bricks x 200 ml,"1,60 €",Mercadona
Crema de soja,Hacendado,Brick,200 ml,"1,10 €",Mercadona
Leche de coco,Dee Thai,Bote,400 ml,"1,40 €",Mercadona
Nata ligera para cocinar sin lactosa,Hacendado,Minipack,3 mini bricks x 200 ml,"2,40 €",Mercadona
Salsa bechamel,Knorr,Brick,500 ml,"2,25 €",Mercadona
Salsa bechamel,Sterilgarda,Minipack,3 mini bricks x 200 g,"2,15 €",Mercadona
