producto,marca,formato,cantidad,precio,supermercado
Preparado de paella y sopa  ultracongelado,Hacendado,Paquete,685 g escurrido,"4,10 €",Mercadona
Arreglo para paella de marisco,Hacendado,Bandeja,850 g aprox.,"8,44 €",Mercadona
Gambón congelado,Hacendado,Granel,150 g aprox.,"1,49 €",Mercadona
Gambón grande congelado,Hacendado,Caja,2 kg,"17,90 €",Mercadona
Alistado mediano congelado,Hacendado,Granel,150 g aprox.,"4,34 €",Mercadona
Alistado mediano  congelado,Hacendado,Caja,1 kg aprox.,"27,95 €",Mercadona
Langostino cocido,Hacendado,Granel,150 g aprox.,"1,64 €",Mercadona
Langostino crudo ultracongelado,Hacendado,Granel,150 g aprox.,"1,64 €",Mercadona
Langostino crudo Pescanova ultracongelado,Hacendado,Caja,1 kg,"10,25 €",Mercadona
Langostino cocido,Hacendado,Bandeja,600 g,"6,60 €",Mercadona
Gamba arrocera  congelada,Hacendado,Granel,150 g aprox.,"2,24 €",Mercadona
Gamba blanca pequeña  congelada,Hacendado,Caja,1 kg aprox.,"13,95 €",Mercadona
Gamba blanca cocida,Hacendado,Bandeja,300 g,"7,30 €",Mercadona
Gamba pelada cruda tamaño mediano  ultracongelada,Hacendado,Paquete,360 g escurrido,"4,95 €",Mercadona
Gamba pelada cruda tamaño grande  ultracongelada,Hacendado,Paquete,360 g escurrido,"5,95 €",Mercadona
Camarón boreal cocido y pelado  ultracongelado,Royal Greenland,Paquete,200 g,"4,25 €",Mercadona
Langostino cocido y pelado  ultracongelado,Hacendado,Bandeja,220 g escurrido,"4,75 €",Mercadona
Langostino crudo y pelado  ultracongelado,Hacendado,Bandeja,220 g escurrido,"3,95 €",Mercadona
Colas de gambón crudo  congelado,Hacendado,Bandeja,250 g,"6,55 €",Mercadona
Salpicón de marisco,Hacendado,Bandeja,400 g,"4,95 €",Mercadona
Carne de mejillón de Chile cocido  ultracongelado,Hacendado,Paquete,275 g escurrido,"2,40 €",Mercadona
Almeja japonesa,Hacendado,Malla,500 g,"11,05 €",Mercadona
Almeja  congelada,Hacendado,Paquete,450 g,"1,70 €",Mercadona
Berberechos,Hacendado,Malla,500 g,"5,95 €",Mercadona
Navajas,Hacendado,Malla,500 g,"3,95 €",Mercadona
Cañaílla,Hacendado,Malla,500 g,"2,90 €",Mercadona
Mejillón Clóchina,Hacendado,Malla,1 kg,"4,95 €",Mercadona
Chirla,Hacendado,Malla,500 g,"4,35 €",Mercadona
Coquina,Hacendado,Malla,500 g,"11,50 €",Mercadona
Palitos de surimi,Hacendado,Paquete,460 g,"1,99 €",Mercadona
Palitos de surimi  ultracongelados,Hacendado,Paquete,32 ud. (600 g),"2,35 €",Mercadona
Muslitos de surimi  ultracongelados,Hacendado,Paquete,450 g,"2,60 €",Mercadona
Caracoles precocidos  ultracongelados,Hacendado,Paquete,350 g,"2,95 €",Mercadona
Delicias del mar de surimi,Hacendado,Bandeja,250 g,"1,99 €",Mercadona
