producto,marca,formato,cantidad,precio,supermercado
Mandarina,Dia,Malla,1 Kg,"1,49 €",Dia
Naranja especial para zumo,Dia,Malla,4 Kg,"5,29 €",Dia
Naranjas de mesa,Dia,Malla,2 Kg,"2,99 €",Dia
Mandarina selección,Dia,Bandeja,750 g,"1,89 €",Dia
Mandarina,Dia,Granel,500 g,"1,15 €",Dia
Mandarina Torres Selección,Dia,Malla,750 g,"2,49 €",Dia
Naranja selección,Dia,Granel,1 Kg,"2,49 €",Dia
Zumo de naranja recién exprimido,Dia,Botella,1 l,"4,79 €",Dia
Zumo de naranja recién exprimido,Dia,Botella,500 ml,"2,99 €",Dia
Zumo de naranja recién exprimido,Dia,Botella,250 ml,"1,99 €",Dia
