producto,marca,formato,cantidad,precio,supermercado
Bastoncillos de algodón 100%,Deliplus,Caja,200 ud.,"0,90 €",Mercadona
Alcohol 96º  antiséptico,Deliplus,Botella,250 ml,"0,75 €",Mercadona
Agua oxigenada  desinfectante antiséptico,Deliplus,Botella,250 ml,"0,65 €",Mercadona
Pulsera de citronela talla L,Hacendado,Paquete,1 ud.,"1,50 €",Mercadona
Pulsera de citronela talla S,Hacendado,Paquete,1 ud.,"1,50 €",Mercadona
"Tiras adhesivas protectoras Classic color beige  surtidas, elásticas y transpirables",Deliplus,Caja,30 tiras,"1,00 €",Mercadona
Solución única para lentes de contacto blandas  con ácido hialurónico,Deliplus,Bote,360 ml,"4,00 €",Mercadona
Bandas adhesivas fijación fuerte color beige  para cortar,Deliplus,Caja,10 tiras,"1,50 €",Mercadona
Esparadrapo textil adhesivo resistente color beige,Deliplus,Caja,1 rollo,"1,30 €",Mercadona
Vaselina hidratante,Deliplus,Tarro,100 g,"2,00 €",Mercadona
Algodón hidrófilo 100% zig-zag hipoalergénico,Deliplus,Paquete,150 g,"1,30 €",Mercadona
Povidona yodada 10%,Cuidaplus,Botella,125 ml,"1,75 €",Mercadona
Alcohol de romero,Deliplus,Botella,250 ml,"2,00 €",Mercadona
"Tiras adhesivas protectoras infantiles  surtidas, elásticas y transpirables",Deliplus,Caja,20 tiras,"1,40 €",Mercadona
Roll-on alivio picor,Deliplus,Caja,15 ml,"3,50 €",Mercadona
Esparadrapo de papel adhesivo microporoso color blanco,Deliplus,Caja,1 rollo,"1,20 €",Mercadona
Tiras adhesivas protectoras de espuma acolchado  protección extra,Deliplus,Caja,15 tiras,"1,30 €",Mercadona
Tiras adhesivas protectoras de poliuretano  surtidas resistentes al agua,Aqua Deliplus,Caja,10 tiras,"1,10 €",Mercadona
Bálsamo oriental efecto calor  con vitamina E,Deliplus,Tarro,30 ml,"2,99 €",Mercadona
Apósitos hidrocoloides adhesivos para ampollas y rozaduras  surtidos,Deliplus,Caja,6 apósitos,"4,30 €",Mercadona
Venda elástica cohesiva  fijación fuerte,Deliplus,Caja,1 venda,"2,10 €",Mercadona
Spray repelente fuerte  antimosquitos,Cuidaplus Forte,Spray,100 ml,"2,75 €",Mercadona
Protectores para los oídos de espuma,Moldex,Caja,4 protectores,"1,70 €",Mercadona
Lágrimas hidratantes para ojos secos,Hacendado,Caja,30 monodosis,"5,70 €",Mercadona
Stick de árnica Cata pum,Deliplus,Caja,14 ml,"4,00 €",Mercadona
Gasas esterilizadas de algodón 100% hidrófilo,Deliplus,Caja,10 ud.,"1,20 €",Mercadona
Spray desinfectante antiséptico transparente  contiene clorhexidina y digluconato 2%,Deliplus,Spray,50 ml,"1,80 €",Mercadona
Toallitas de manos hidroalcohólicas  75% Alcohol,Deliplus,Paquete,15 ud.,"0,90 €",Mercadona
Gel hidroalcohólico 80% alcohol  antiséptico sin aclarado,Deliplus,Bote,500 ml,"3,10 €",Mercadona
Mascarillas quirúrgicas  de un solo uso,MilaRosa,Paquete,10 ud,"0,95 €",Mercadona
Preservativos sensitivo suave,Durex,Caja,12 preservativos,"8,00 €",Mercadona
Preservativos natural,On,Caja,12 preservativos,"2,93 €",Mercadona
Preservativos natural,Durex,Caja,12 preservativos,"7,00 €",Mercadona
Preservativos sensitive,On,Caja,12 preservativos,"3,12 €",Mercadona
Preservativos dame placer,Durex,Caja,12 preservativos,"8,00 €",Mercadona
