producto,marca,formato,cantidad,precio,supermercado
Pizza jamón y queso,Al Punto,Bandeja,400 g,"2,49 €",Dia
Pizza barbacoa,Al Punto,Bandeja,425 g,"2,59 €",Dia
Pizza,Al Punto,Bandeja,  390 g,"2,69 €",Dia
Pizza carbonara,Al Punto,Bandeja,400 g,"2,69 €",Dia
Pizza jamón y queso,Casa Tarradellas,Bandeja,225 g,"3,19 €",Dia
Pizza pollo,Al Punto,Bandeja,400 g,"2,69 €",Dia
Pizza atún y bacon,Al Punto,Bandeja,400 g,"2,69 €",Dia
Pizza smoky grilled pork,Al Punto,Bandeja,480 g,"2,99 €",Dia
Pizza,Al Punto,Bandeja,  580 g,"3,95 €",Dia
Pizza jamón y queso,Casa Tarradellas,Bandeja,405 g,"3,19 €",Dia
Pizza serrana,Al Punto,Bandeja,390 g,"2,69 €",Dia
Pizza jamón y queso familiar,Al Punto,Bandeja,600 g,"3,95 €",Dia
Pizza,Casa Tarradellas,Bandeja,  390 g,"3,19 €",Dia
Pizza pollo,Casa Tarradellas,Bandeja,410 g,"3,19 €",Dia
Pizza jamón serrano,Casa Tarradellas,Bandeja,390 g,"3,19 €",Dia
Pizza atún y bacon,Casa Tarradellas,Bandeja,405 g,"3,19 €",Dia
Pizza carbonara,Casa Tarradellas,Bandeja,400 g,"3,19 €",Dia
