producto,marca,formato,cantidad,precio,supermercado
Whisky,Dyc,Botella,1 l,"15,25 €",Dia
Ron añejo,Barceló,Botella,70 cl,"15,45 €",Dia
Whisky,Ballantines,Botella,70 cl,"12,95 €",Dia
Ron añejo,Brugal,Botella,70 cl,"15,70 €",Dia
Whisky,J&b,Botella,70 cl,"13,49 €",Dia
Ron añejo,Velero,Botella,70 cl,"5,95 €",Dia
Ron añejo,Negrita,Botella,50 cl,"6,99 €",Dia
Whisky,Burned barrel,Botella,70 cl,"5,99 €",Dia
Whisky red label,Johnnie Walker,Botella,70 cl,"15,99 €",Dia
Whisky escocés,Douregal,Botella,  70 cl,"6,00 €",Dia
Ron dominicano viejo,Velero,Botella,70 cl,"8,69 €",Dia
Whisky black label,Johnnie Walker,Botella,70 cl,"29,99 €",Dia
Whisky white label,Dewars,Botella,70 cl,"13,49 €",Dia
Whisky tenessee,Jack Daniel's,Botella,70 cl,"23,25 €",Dia
Ron blanco superior,Bacardi,Botella,70 cl,"13,99 €",Dia
Ron de coco,Malibú,Botella,70 cl,"12,59 €",Dia
Ron añejo,Cacique,Botella,70 cl,"14,49 €",Dia
Whisky,Dyc,Botella,  70 cl,"14,09 €",Dia
Whisky,William Lawson's,Botella,70 cl,"9,99 €",Dia
Ron blanco,Velero,Botella,70 cl,"5,25 €",Dia
Whisky bourbon,Jim Beam,Botella,70 cl,"15,45 €",Dia
Whisky,The singleton,Botella,  70 cl,"29,99 €",Dia
Whisky japanese smooth,Dewars,Botella,70 cl,"17,99 €",Dia
Whisky,Seagram's,Botella,70 cl,"15,39 €",Dia
Whisky,Douregal,Botella,  70 cl,"8,99 €",Dia
Whisky,Fireball,Botella,70 cl,"14,49 €",Dia
Mojito,Caribica,Botella,70 cl,"4,99 €",Dia
Whisky escocés blended,Ballantines,Botella,  70 cl,"20,99 €",Dia
Whisky americano,Wordens,Botella,70 cl,"9,99 €",Dia
Whisky Tennessee honey,Jack Daniel's,Botella,70 cl,"23,25 €",Dia
Ron añejo,Santa Teresa,Botella,70 cl,"17,39 €",Dia
Whisky,Passport,Botella,70 cl,"11,99 €",Dia
Whisky,Chivas,Botella,  70 cl,"29,99 €",Dia
