producto,marca,formato,cantidad,precio,supermercado
Filetes de anchoa en aceite de girasol,Hacendado,Filetes,3 bandejas x 29 g,"2,10 €",Mercadona
Boquerones en vinagre  en aceite de girasol,Hacendado,Bandeja,80 g (60 g escurrido),"1,75 €",Mercadona
Boquerones al vinagre  en aceite de girasol,Hacendado,Tarrina,330 g (265 g escurrido),"5,80 €",Mercadona
Filetes de anchoa en aceite de oliva,Hacendado,Lata,42 g (29 g escurrido),"1,25 €",Mercadona
Filetes de anchoa en aceite de oliva,Hacendado,Filetes,3 bandejas x 29 g,"3,05 €",Mercadona
Filetes de sardina anchoada  en aceite de girasol,Hacendado,Bandeja,80 g (60 g escurrido),"1,60 €",Mercadona
Migas de bacalao desaladas,Hacendado,Bandeja,300 g,"6,55 €",Mercadona
Filetes de sardina marinada  en aceite de oliva virgen extra,Hacendado,Bandeja,80 g (50 g escurrido),"1,40 €",Mercadona
Sucedáneo de caviar negro,Ubago Caviartic,Tarro,75 g,"1,85 €",Mercadona
Filetes de anchoa en aceite de oliva,Hacendado,Bandeja,140 g (110 g escurrido),"6,70 €",Mercadona
Filetes de anchoa en aceite de oliva,Hacendado,Lata,74 g (50 g escurrido),"3,75 €",Mercadona
Mojama de atún superior en taco  seca salada,Hacendado,Paquete,200 g aprox.,"8,00 €",Mercadona
Boquerones aliñados,Hacendado,Bandeja,80 g (60 g escurrido),"1,80 €",Mercadona
Migas de bacalao saladas,Hacendado,Bandeja,250 g,"5,55 €",Mercadona
Trozos de bacalao salado,Hacendado,Paquete,400 g,"4,55 €",Mercadona
Hoja de bacalao,Hacendado,Paquete,800 g aprox.,"13,92 €",Mercadona
Salmón ahumado,Hacendado,Paquete,100 g aprox.,"3,80 €",Mercadona
Salmón ahumado,Hacendado,Filetes,2 paquetes x 150 g,"10,80 €",Mercadona
Bacalao ahumado  en aceite de girasol,Hacendado,Bandeja,110 g (80 g escurrido),"3,20 €",Mercadona
Salmón marinado,Hacendado,Paquete,80 g,"3,50 €",Mercadona
Filetes de sardina ahumada  en aceite de girasol,Hacendado,Bandeja,85 g (65 g escurrido),"2,00 €",Mercadona
Taquitos de salmón ahumado,Hacendado,Paquete,100 g,"3,80 €",Mercadona
