producto,marca,formato,cantidad,precio,supermercado
Tinto de verano con limón,Dia,Botella,1.5 l,"1,20 €",Dia
Tinto de verano sin alcohol con limón,Dia,Botella,1.5 l,"1,15 €",Dia
Tinto de verano limón,Casera,Botella,1.5 l,"2,29 €",Dia
Tinto de verano limón,Don Simón,Botella,1.5 l,"1,85 €",Dia
Sangría,Dia,Botella,1.5 l,"1,55 €",Dia
Tinto de verano clásico,Dia,Botella,1.5 l,"1,20 €",Dia
Tinto de verano limón,Casera,Lata,33 cl,"0,89 €",Dia
Tinto de verano limón sin alcohol,Don Simón,Botella,1.5 l,"1,55 €",Dia
Sangría,Don Simón,Botella,1.5 l,"2,30 €",Dia
Tinto de verano,Casera,Botella,1.5 l,"2,29 €",Dia
