producto,marca,formato,cantidad,precio,supermercado
Tortitas de maíz,Naturmundo,Bolsa,130 g,"1,25 €",Dia
Tortitas de arroz integral con chocolate blanco,Naturmundo,Bolsa,130 g,"1,60 €",Dia
Tortitas de arroz integral con chocolate negro,Naturmundo,Bolsa,130 g,"1,60 €",Dia
Tortitas de maíz con chocolate negro,Naturmundo,Bolsa,90 g,"1,14 €",Dia
Mini tortitas de maíz y arroz sabor jamón,Naturmundo,Bolsa,75 g,"1,35 €",Dia
Mini tortitas sabor campesina,Naturmundo,Bolsa,75 g,"1,35 €",Dia
Mini tortitas de maíz y arroz sabor queso,Naturmundo,Bolsa,75 g,"1,35 €",Dia
Tortitas de arroz integral,Naturmundo,Bolsa,130 g,"1,25 €",Dia
Tortitas de maíz,Bicentury,Bolsa,130 g,"1,79 €",Dia
Tortitas de arroz con chocolate blanco y frutos rojos,Bicentury,Bolsa,184 g,"2,59 €",Dia
"Tortitas de maíz sabor setas, trufa y queso",Bicentury,Bolsa,124 g,"2,59 €",Dia
Tortitas de maíz sabor jamón ibérico,Bicentury,Bolsa,123 g,"2,39 €",Dia
Tortitas de maíz con queso y albahaca,Bicentury,Bolsa,123 g,"2,29 €",Dia
"Tortitas de arroz integral con chocolate blanco, almendra y canela",Bicentury,Bolsa,138 g,"2,59 €",Dia
Tortitas de arroz y quinoa,Ecocesta,Bolsa,120 g,"1,79 €",Dia
Tortitas de arroz con chocolate con leche,Bicentury,Bolsa,130 g,"2,59 €",Dia
Barritas de cereales bañadas con chocolate negro sin azúcares,Bicentury,Caja,102 g,"2,99 €",Dia
Tortitas de arroz integral sabor yogur,Bicentury,Bolsa,130 g,"2,39 €",Dia
Tortitas de arroz integral con chocolate negro,Bicentury,Bolsa,130 g,"2,39 €",Dia
Tortitas de arroz integral con chocolate negro,Bicentury,Bolsa,  130 g,"2,59 €",Dia
Barrita de chocolate con,Corny,Bolsa,  50 g,"1,79 €",Dia
"Barritas energéticas con dátil, coco y nueces",Just loading,Bolsa,40 g,"1,00 €",Dia
Barritas de cereales con cacahuetes y cacao,Corny,Bolsa,35 g,"1,79 €",Dia
Barritas energéticas con avena y café flapjack,Just loading,Bolsa,60 g,"1,29 €",Dia
Barritas de proteínas sabor brownie,Just loading,Bolsa,35 g,"1,39 €",Dia
"Tortitas de arroz integral con chocolate blanco, limón y coco",Bicentury,Bolsa,138 g,"2,59 €",Dia
Tortitas de arroz con chocolate negro con azahar y piel de naranja,Bicentury,Bolsa,139 g,"2,59 €",Dia
Tortitas de espelta bio,Ecocesta,Bolsa,108 g,"1,79 €",Dia
Barrita proteína sabor chocolate blanco con stracciatella,Just loading,Bolsa,35 g,"1,35 €",Dia
Tortitas de arroz con chocolate con leche y avellanas,Bicentury,Bolsa,142 g,"2,59 €",Dia
Barritas de proteínas sabor chocolate blanco,Weider,Caja,105 g,"3,75 €",Dia
Barritas de proteínas sabor avellanas,Weider,Caja,105 g,"4,39 €",Dia
Barritas de cereales y cacao bañadas en chocolate con leche,Bicentury,Caja,120 g,"3,15 €",Dia
Barritas de cereales y cacao bañadas con chocolate negro,Bicentury,Caja,120 g,"3,15 €",Dia
Barritas de chocolate con leche con chocochips,Bicentury,Caja,128 g,"4,99 €",Dia
Galletas sabor yogur con limón,Bicentury,Caja,160 g,"2,59 €",Dia
Tortitas de maíz con chocolate negro,Bicentury,Bolsa,90 g,"2,29 €",Dia
