producto,marca,formato,cantidad,precio,supermercado
Vermouth rosso,Alvini,Botella,1 l,"2,19 €",Dia
Vermouth reserva,Topaz,Botella,75 cl,"2,70 €",Dia
Vermouth blanco,Alvini,Botella,1 l,"2,19 €",Dia
Vermouth rojo,Yzaguirre,Botella,1 l,"8,15 €",Dia
Vermouth,El bandarra,Botella,1 l,"7,99 €",Dia
Vermouth rosso,Martini,Botella,1 l,"9,69 €",Dia
Vermut rojo,Zarro,Botella,1 l,"5,79 €",Dia
Vermouth rosso,Cinzano,Botella,1 l,"7,95 €",Dia
Aperitivo,Aperol,Botella,70 cl,"13,39 €",Dia
Vermouth bianco,Martini,Botella,1 l,"9,69 €",Dia
Vermouth rojo tempranillo,61,Botella,75 cl,"6,99 €",Dia
Vermouth blanco verdejo,61,Botella,75 cl,"8,99 €",Dia
Vermouth blanco sin alcohol,Martini,Botella,75 cl,"10,99 €",Dia
Vermouth rojo sin alcohol,Martini,Botella,75 cl,"10,99 €",Dia
