producto,marca,formato,cantidad,precio,supermercado
Vino blanco,Castillo de Velasco,Brik,1 l,"0,95 €",Dia
Vino blanco verdejo viura D.O. Rueda,Vega del Báron,Botella,75 cl,"2,09 €",Dia
Vino blanco,Don Simón,Brik,3 x 18.7 cl,"1,50 €",Dia
Vino blanco verdejo frizzante,Condominium,Botella,75 cl,"2,65 €",Dia
Vino blanco,Castillo de Velasco,Botella,75 cl,"1,29 €",Dia
Vino blanco suave y afrutado,Oceanus,Botella,75 cl,"2,19 €",Dia
Vino blanco verdejo D.O. Rueda,Vega del Báron,Botella,75 cl,"2,10 €",Dia
Vino blanco  garrafa,Castillo de Velasco,frasco,2 l,"2,60 €",Dia
Vino blanco verdejo D.O. Rueda,Veliterra,Botella,75 cl,"3,55 €",Dia
Vino blanco,Don Simón,Brik,1 l,"1,60 €",Dia
Vino chardonnay D.O. Castilla,Señorío de Ayerbe,Botella,75 cl,"2,59 €",Dia
Vino blanco D.O. Rueda,Blume,Botella,75 cl,"5,25 €",Dia
Vino blanco frizzante,Condominium,Botella,  75 cl,"2,49 €",Dia
Vino de cocina D.O. Montilla-Moriles,Castillo de Velasco,Botella,75 cl,"2,35 €",Dia
Vino blanco verdejo,Viña Albalí,Botella,75 cl,"3,39 €",Dia
Vino blanco joven D.O. Rueda,Blume,Botella,75 cl,"2,99 €",Dia
Vino blanco semidulce D.O. Rioja,Señorío de Ondas,Botella,75 cl,"2,99 €",Dia
Vino fino D.O. Montilla Moriles,Singular,Botella,75 cl,"2,85 €",Dia
Vino blanco de la tierra,Barbadillo,Botella,75 cl,"4,75 €",Dia
Vino blanco semidulce D.O. Rioja,Diamante,Botella,75 cl,"3,95 €",Dia
Vino blanco,Cumbre de Gredos,Brik,1 l,"1,69 €",Dia
Vino blanco verdejo D.O. Valdepeñas,Molinos,Botella,75 cl,"2,35 €",Dia
Vino blanco semidulce D.O. Penedés,Bach,Botella,75 cl,"4,95 €",Dia
Vino fino seco D.O. Jerez,Tío Pepe,Botella,75 cl,"7,30 €",Dia
Vino blanco semidulce D.O. Rioja,Faustino Rivero,Botella,75 cl,"4,49 €",Dia
Vino blanco tempranillo D.O. Rioja,Castillo de Haro,Botella,75 cl,"3,49 €",Dia
Vino blanco semidulce,Libalis,Botella,75 cl,"6,80 €",Dia
Vino blanco treixadura D.O. Ribeiro,Gran leiriña,Botella,75 cl,"11,00 €",Dia
Vino blanco D.O. Madrid,Puerta de Alcalá,Botella,75 cl,"3,09 €",Dia
Vino blanco D.O. Rías Baixas,Serantello,Botella,75 cl,"7,45 €",Dia
Vino blanco txakoli D.O. getariako txacolina,Ameztoi,Botella,75 cl,"8,19 €",Dia
Vino blanco,Dulce María,Botella,75 cl,"3,89 €",Dia
Vino blanco espumoso D.O. Valencia,Sandara,Botella,75 cl,"5,99 €",Dia
Vino blanco,Habla de ti,Botella,75 cl,"11,45 €",Dia
Vino blanco D.O. Ribeiro,Mourama,Botella,75 cl,"5,49 €",Dia
Vino blanco godello D.O. Monterrei,Mourama,Botella,75 cl,"6,49 €",Dia
Vino blanco albariño D.O. Rías Baixas,Mourama,Botella,75 cl,"7,99 €",Dia
Vino blanco afrutado,Faustino Rivero,Botella,75 cl,"4,25 €",Dia
Vino blue frizzante,Condominium,Botella,  75 cl,"2,49 €",Dia
Vino blanco viura-sauvignon,Pinta en Copas,Botella,75 cl,"1,99 €",Dia
Vino blanco sauvignon D.O. Rueda,Rioseco,Botella,75 cl,"4,49 €",Dia
Vino blanco verdejo D.O. Rueda,Rioseco,Botella,75 cl,"4,49 €",Dia
Vino blanco Pedro Ximénez D.O. Jerez,Topaz,Botella,75 cl,"7,65 €",Dia
Vino blanco chardonnay D.O. Navarra,Viña Ardanche,Botella,75 cl,"2,45 €",Dia
Vino blanco D.O. Rioja,Señorío de Ondas,Botella,75 cl,"2,59 €",Dia
Vino blanco D.O. Valdepeñas,Viña Danza,Botella,75 cl,"1,69 €",Dia
Vino espumoso blue moscato,Don Luciano,Botella,75 cl,"2,79 €",Dia
Vino blanco albariño D.O. Rías Baixas,Mar de Frades,Botella,75 cl,"18,90 €",Dia
Vino blanco verdejo D.O. Castilla,Faustino Rivero,Botella,75 cl,"4,25 €",Dia
Vino blanco verdejo D.O. Rueda,Beronia,Botella,75 cl,"8,39 €",Dia
Vino blanco de uva moscatel,Geraldino,Botella,75 cl,"3,60 €",Dia
Vino manzanilla,Muy fina,Botella,75 cl,"4,75 €",Dia
Vino blanco D.O. Somontano,Viñas del Vero,Botella,75 cl,"6,10 €",Dia
Vino blanco verdejo D.O. Rueda,Mayor de Castilla,Botella,75 cl,"3,99 €",Dia
Vino blanco rioja,El coto,Botella,75 cl,"3,95 €",Dia
Vino blanco verdejo D.O. Rueda,Cvne,Botella,75 cl,"5,95 €",Dia
Vino blanco verdejo D.O. Rueda,Protos,Botella,75 cl,"7,65 €",Dia
Vino blanco semidulce D.O. Penedés,Solell de Flix,Botella,75 cl,"3,29 €",Dia
Vino blanco,Pescador,Botella,75 cl,"4,25 €",Dia
Vino blanco verdejo D.O. Rueda,Emina,Botella,75 cl,"6,95 €",Dia
Vino blanco verdejo D.O. Rueda,Cuatro rayas,Botella,75 cl,"5,29 €",Dia
