producto,marca,formato,cantidad,precio,supermercado
Vino rosado lambrusco,Flaminia,Botella,75 cl,"2,99 €",Dia
Vino frizzante moscato rosado,Condominium,Botella,  75 cl,"2,99 €",Dia
Vino rosado D.O. Navarra,Viña Ardanche,Botella,75 cl,"2,10 €",Dia
Vino rosado de aguja,Peñascal,Botella,75 cl,"3,85 €",Dia
Vino rosado D.O. Valdepeñas,Viña Danza,Botella,75 cl,"1,69 €",Dia
Vino rosado D.O. Rioja,El coto,Botella,75 cl,"3,95 €",Dia
Vino rosado bobal,Pinta en Copas,Botella,75 cl,"1,99 €",Dia
Vino rosado D.O. Rioja,Señorío de Ondas,Botella,75 cl,"2,59 €",Dia
Vino rosado D.O. Rioja,Castillo de Haro,Botella,75 cl,"3,25 €",Dia
Vino rosado,Castillo de Velasco,Brik,1 l,"1,19 €",Dia
Vino rosado D.O. Navarra,Gran feudo,Botella,75 cl,"4,79 €",Dia
Vino rosado,Viñas del Vero,Botella,75 cl,"6,10 €",Dia
