producto,marca,formato,cantidad,precio,supermercado
Alubias blancas,Vegecampo de Dia,bolsa,1 Kg,"2,00 €",Dia
Alubias pintas,Vegecampo de Dia,bolsa,1 Kg,"2,26 €",Dia
Alubia negra,Vegecampo de Dia,bolsa,500 g,"1,20 €",Dia
Alubias blancas bajo contenido en sal,Vegecampo de Dia,frasco,400 g,"0,95 €",Dia
Alubias rojas cocidas,Vegecampo de Dia,frasco,400 g,"1,05 €",Dia
Alubias pintas cocidas,Vegecampo de Dia,frasco,400 g,"1,10 €",Dia
Alubias blancas extra,Vegecampo de Dia,frasco,210 g,"0,70 €",Dia
Alubias blancas con verduras,Vegecampo de Dia,frasco,400 g,"1,15 €",Dia
Alubia cocida,Luengo,frasco,400 g,"1,25 €",Dia
Alubias blancas cocidas,La Asturiana,frasco,400 g,"1,70 €",Dia
Alubias blancas,Luengo,bolsa,1 Kg,"3,75 €",Dia
Alubia cocido sin sal,La Asturiana,frasco,400 g,"1,75 €",Dia
Alubia blanca cocida ecológica,Luengo,frasco,400 g,"1,99 €",Dia
Alubias pintas cocidas,La Asturiana,frasco,400 g,"1,75 €",Dia
Alubia de la bañeza cocida,Luengo,frasco,400 g,"1,45 €",Dia
