producto,marca,formato,cantidad,precio,supermercado
Arroz extra,Arrozona de Dia,bolsa,1 Kg,"1,27 €",Dia
Arroz largo de primera categoría,Arrozona de Dia,bolsa,1 Kg,"1,35 €",Dia
Arroz basmati,Selección Mundial de Dia,paquete,1 Kg,"2,44 €",Dia
Arroz bomba,Arrozona de Dia,paquete,1 Kg,"4,90 €",Dia
Arroz redondo,SOS,paquete,1 Kg,"1,80 €",Dia
Arroz redondo,Al Punto Dia,vaso,2 x 125 g,"1,19 €",Dia
Arroz basmati,Brillante,vaso,2 x 125 g,"1,34 €",Dia
Arroz vaporizado,Arrozona de Dia,bolsa,1 Kg,"1,54 €",Dia
Arroz redondo,Brillante,paquete,1 Kg,"2,68 €",Dia
Arroz integral,Brillante,vaso,2 x 125 g,"1,25 €",Dia
Arroz integral,Arrozona de Dia,paquete,1 Kg,"1,70 €",Dia
Arroz vaporizado,Brillante,caja,1 Kg,"1,90 €",Dia
Arroz integral con quinoa,Brillante,vaso,2 x 125 g,"1,49 €",Dia
Arroz risotto,Selección Mundial de Dia,paquete,1 Kg,"3,80 €",Dia
Arroz integral,SOS,bolsa,1 Kg,"2,05 €",Dia
Arroz redondo tradicional,Brillante,vaso,400 g,"2,33 €",Dia
Arroz bomba,La fallera,paquete,1 Kg,"5,59 €",Dia
Mezcla de 3 arroces,Arrozona de Dia,bolsa,1 Kg,"2,99 €",Dia
Arroz basmati,Brillante,vaso,400 g,"2,43 €",Dia
Arroz basmati,Tilda,paquete,1 Kg,"3,49 €",Dia
Arroz arborio risotto,Riso scotti,bolsa,500 g,"1,79 €",Dia
