producto,marca,formato,cantidad,precio,supermercado
Arroz tres delicias  ultracongelado,Hacendado,Paquete,1 kg,"2,75 €",Mercadona
Arroz precocido  ultracongelado,Hacendado,Paquete,6 bolsitas (1 kg),"1,95 €",Mercadona
Risotto de setas  ultracongelados,Hacendado,Paquete,350 g,"2,00 €",Mercadona
Arroz negro  ultracongelado,Hacendado,Paquete,600 g,"3,00 €",Mercadona
Arroz con verduras  ultracongelado,Hacendado,Paquete,600 g,"1,78 €",Mercadona
Arroz con pollo  ultracongelado,Hacendado,Paquete,600 g,"2,50 €",Mercadona
Lasaña boloñesa familiar  ultracongelada,Hacendado,Bandeja,"1,1 kg","5,90 €",Mercadona
Lasaña a la boloñesa  ultracongelada,Hacendado,Caja,2 bandejas (600 g),"3,25 €",Mercadona
Canelones de carne  ultracongelados,Hacendado,Caja,2 bandejas (600 g),"3,25 €",Mercadona
Lasaña de atún  ultracongelada,Hacendado,Caja,2 bandejas (600 g),"3,50 €",Mercadona
Lasaña de verduras  ultracongelada,Hacendado,Caja,2 ud. (600 g),"3,30 €",Mercadona
Gnocchi de pollo y verduras  ultracongelados,Hacendado,Paquete,600 g,"3,15 €",Mercadona
Sopa con wonton de langostino y fideos  ultracongelada,Hacendado,Bol,309 g,"4,15 €",Mercadona
