producto,marca,formato,cantidad,precio,supermercado
Bífidus desnatado con nueces y cereales  0% m.g.,Hacendado,Pack,4 ud. x 125 g,"1,30 €",Mercadona
Bífidus desnatado probiótico con kiwi  0% m.g. 0% sin azúcares añadidos,Hacendado,Pack,4 ud. x 125 g,"1,30 €",Mercadona
Bífidus cremoso desnatado Tropical  0% m.g. 0% sin azúcares añadidos,Hacendado,Pack,4 ud. x 125 g,"1,30 €",Mercadona
Bífidus desnatado probiótico con frutos silvestres  0% m.g. 0% sin azúcares añadidos,Hacendado,Pack,4 ud. x 125 g,"1,30 €",Mercadona
Bífidus probiótico con cereales y fibras,Hacendado,Pack,4 ud. x 125 g,"1,30 €",Mercadona
Bífidus desnatado probiótico con piña  0% m.g. 0% sin azúcares añadidos,Hacendado,Pack,4 ud. x 125 g,"1,30 €",Mercadona
Bífidus desnatado probiótico con pera  0% m.g. 0% sin azúcares añadidos,Hacendado,Pack,4 ud. x 125 g,"1,30 €",Mercadona
Bífidus probiótico con mango,Hacendado,Pack,4 ud. x 125 g,"1,30 €",Mercadona
Bífidus probiótico con ciruelas pasas,Hacendado,Pack,4 ud. x 125 g,"1,30 €",Mercadona
Bífidus cremoso con lima y limón Activia,Activia,Pack,4 ud. x 115 g,"2,40 €",Mercadona
Bífidus cremoso probiótico con coco,Hacendado,Pack,4 ud. x 125 g,"1,30 €",Mercadona
Bífidus cremoso sabor melocotón Activia,Activia,Pack,4 ud x 115 g,"2,40 €",Mercadona
Bífidus desnatado natural  0% m.g 0% sin azúcares añadidos,Hacendado,Pack,6 ud. x 125 g,"1,30 €",Mercadona
Bífidus cremoso desnatado natural edulcorado  0% m.g 0% sin azúcares añadidos,Hacendado,Pack,6 ud. x 125 g,"1,55 €",Mercadona
Bífidus desnatado natural edulcorado Activia zero m.g.,Activia,Pack,8 ud. x 120 g,"3,60 €",Mercadona
Bífidus natural,Hacendado,Pack,6 ud. x 125 g,"1,35 €",Mercadona
Bífidus desnatado natural Activia zero m.g.,Activia,Pack,8 ud. x 120 g,"3,60 €",Mercadona
Bífidus natural probiótico azucarado  con cereales y fresas deshidratadas,Hacendado,Tarrina,170 g,"1,20 €",Mercadona
"Bífidus natural probiótico  con coco, almendras y chocolate",Hacendado,Tarrina,180 g,"1,25 €",Mercadona
