producto,marca,formato,cantidad,precio,supermercado
Filete de cinta de lomo tierno,Selección de Dia,bandeja,300 g,"2,69 €",Dia
Estofado de cerdo,Selección de Dia,bandeja,500 g aprox.,"3,20 €",Dia
Solomillo de cerdo,Selección de Dia,bolsa,450 g aprox.,"4,05 €",Dia
Longaniza sin tripa,Selección de Dia,bandeja,325 g,"1,99 €",Dia
Albóndigas de cerdo,Selección de Dia,bandeja,400 g,"1,99 €",Dia
Escalopín de lomo de cerdo marinado,Elpozo Extratiernos,bandeja,600 g aprox.,"4,99 €",Dia
Chorizo oreado,Selección de Dia,bandeja,300 g,"2,29 €",Dia
Filetes de cabeza de lomo de cerdo,Selección de Dia,bandeja,500 g aprox.,"3,70 €",Dia
Chuleta de aguja de cerdo,Selección de Dia,bandeja,600 g aprox.,"4,13 €",Dia
Costillas troceadas de cerdo,Selección de Dia,bandeja,450 g aprox.,"3,55 €",Dia
Longaniza fresca,Selección de Dia,bandeja,350 g,"2,69 €",Dia
Lomo de cerdo en trozo,Elpozo,bandeja,950 g aprox.,"5,69 €",Dia
Cinta de lomo adobada,Selección de Dia,bandeja,850 g aprox.,"6,79 €",Dia
Secreto de cerdo,Selección de Dia,bolsa,550 g aprox.,"3,84 €",Dia
Lomo extra adobado,Selección de Dia,bandeja,300 g,"2,99 €",Dia
Tira de costilla de cerdo envasada al vacío,Selección de Dia,bolsa,900 g aprox.,"6,56 €",Dia
Chuleta de lomo de cerdo,Selección de Dia,bandeja,600 g aprox.,"4,13 €",Dia
Morcilla de burgos,Selección de Dia,bolsa,300 g,"1,65 €",Dia
Panceta fileteada de cerdo,Selección de Dia,bandeja,500 g aprox.,"3,90 €",Dia
Filete de cinta de lomo,Selección de Dia,bandeja,450 g aprox.,"3,37 €",Dia
Chistorra de navarra,Selección de Dia,bolsa,220 g,"1,69 €",Dia
Panceta adobada de cerdo,Selección de Dia,bandeja,350 g aprox.,"3,15 €",Dia
Secreto adobado de cerdo,Selección de Dia,bandeja,300 g aprox.,"2,91 €",Dia
Chuletas de cerdo de sajonia,Selección de Dia,bandeja,300 g aprox.,"2,94 €",Dia
Oreja de cerdo al ajillo,Emcesa,bolsa,500 g,"3,19 €",Dia
Oreja de cerdo adobada,Emcesa,bolsa,500 g,"3,19 €",Dia
Pincho de cerdo adobado,Selección de Dia,bandeja,340 g,"3,59 €",Dia
Tira de costilla de cerdo sabor barbacoa envasada al vacío,Selección de Dia,bolsa,1.1 Kg aprox.,"9,89 €",Dia
Lomo de cerdo extra al ajillo,Selección de Dia,bandeja,300 g,"2,49 €",Dia
Compango asturiano,Vallina,bolsa,250 g,"2,69 €",Dia
Lomo adobado al horno,Marca no encontrada,bandeja,330 g,"2,99 €",Dia
