producto,marca,formato,cantidad,precio,supermercado
Cerveza sin alcohol,Falke,Pack,6 botellines x 250 ml,"2,10 €",Mercadona
Cerveza sin alcohol,Falke,Botellín,250 ml,"0,35 €",Mercadona
"Cerveza 0,0% sin alcohol",Falke,Pack,6 botellines x 250 ml,"2,10 €",Mercadona
"Cerveza 0,0% sin alcohol",Falke,Botellín,250 ml,"0,35 €",Mercadona
"Cerveza 0,0% sin alcohol tostada",Mahou,Pack,6 botellines x 330 ml,"6,90 €",Mercadona
"Cerveza 0,0% sin alcohol tostada",Mahou,Botellín,330 ml,"1,15 €",Mercadona
"Cerveza 0,0% sin alcohol tostada",Falke,Pack,6 botellines x 250 ml,"3,00 €",Mercadona
"Cerveza 0,0% sin alcohol tostada",Falke,Botellín,250 ml,"0,50 €",Mercadona
Cerveza especial sin alcohol,Alhambra,Pack,6 botellines x 250 ml,"2,82 €",Mercadona
Cerveza especial sin alcohol,Alhambra,Botellín,250 ml,"0,49 €",Mercadona
Cerveza sin alcohol,Falke,Pack,12 latas x 330 ml,"4,20 €",Mercadona
Cerveza sin alcohol,Falke,Lata,330 ml,"0,35 €",Mercadona
"Cerveza 0,0% sin alcohol",Falke,Pack,12 latas x 330 ml,"4,20 €",Mercadona
"Cerveza 0,0% sin alcohol",Falke,Lata,330 ml,"0,35 €",Mercadona
"Cerveza sin gluten  0,0% sin alcohol",Free Damm,Pack,6 latas x 330 ml,"4,44 €",Mercadona
"Cerveza sin gluten  0,0% sin alcohol",Free Damm,Lata,330 ml,"0,74 €",Mercadona
"Cerveza 0,0% sin alcohol tostada",Falke,Pack,12 latas x 330 ml,"5,76 €",Mercadona
"Cerveza 0,0% sin alcohol tostada",Falke,Lata,330 ml,"0,48 €",Mercadona
Cerveza sin alcohol especial,Alhambra,Pack,12 latas x 330 ml,"6,60 €",Mercadona
Cerveza sin alcohol especial,Alhambra,Lata,330 ml,"0,57 €",Mercadona
