producto,marca,formato,cantidad,precio,supermercado
Flan de vainilla con caramelo,Hacendado,Pack,6 ud. x 100 g,"1,00 €",Mercadona
Flan de huevo,Hacendado,Pack,9 ud. x 100 g,"3,00 €",Mercadona
Flan de huevo,Hacendado,Pack,4 ud. x 100 g,"1,35 €",Mercadona
Flan de café,Hacendado,Pack,4 ud. x 100 g,"1,75 €",Mercadona
Flan de queso,Hacendado,Pack,4 ud. x 100 g,"1,90 €",Mercadona
Flan de huevo sin azúcares añadidos,Hacendado,Pack,4 ud. x 100 g,"1,60 €",Mercadona
Flan de huevo +Proteínas  0% m.g 10 g proteínas,Hacendado,Pack,4 ud. x 100 g,"2,00 €",Mercadona
Flan bicapa caramelo,Hacendado,Pack,2 ud. x 100 g,"1,60 €",Mercadona
Natillas sabor vainilla,Hacendado,Pack,4 ud. x 125 g,"1,05 €",Mercadona
Natillas sabor vainilla con galleta,Hacendado,Pack,4 ud. x 125 g,"1,25 €",Mercadona
Natillas de chocolate con leche,Hacendado,Pack,4 ud. x 125 g,"1,05 €",Mercadona
Natillas de vainilla ,Danet,Pack,4 ud. x 120 g,"2,00 €",Mercadona
Natillas de chocolate ,Danet,Pack,4 ud. x 120 g,"2,00 €",Mercadona
Natillas sabor vainilla +Proteínas  12 g proteínas,Hacendado,Pack,4 ud. x 120 g,"1,75 €",Mercadona
"Natillas con chocolate +Proteínas  1,3 g m.g 10 g proteínas",Hacendado,Pack,4 ud. x 120 g,"1,75 €",Mercadona
