producto,marca,formato,cantidad,precio,supermercado
Paté de cerdo intenso,Nuestra Alacena de Dia,pack,3 x 75 g,"1,75 €",Dia
Paté a la pimienta,Nuestra Alacena de Dia,frasco,125 g,"1,09 €",Dia
Paté de atún,Nuestra Alacena de Dia,pack,2 x 75 g,"1,60 €",Dia
Mousse de foie de pato,Aoste blister,blister,100 g,"1,99 €",Dia
Paté a las finas hierbas,Nuestra Alacena de Dia,frasco,125 g,"1,09 €",Dia
Paté de hígado de cerdo suave,Nuestra Alacena de Dia,pack,2 x 75 g,"1,29 €",Dia
Paté de salmón,Nuestra Alacena de Dia,frasco,110 g,"1,49 €",Dia
Paté de anchoa,Nuestra Alacena de Dia,frasco,110 g,"1,49 €",Dia
Paté de hígado de cerdo,Mina,lata,3 x 80 g,"2,19 €",Dia
Paté de campaña,Nuestra Alacena de Dia,frasco,125 g,"1,09 €",Dia
Paté de cerdo ibérico,Nuestra Alacena de Dia,frasco,125 g,"1,09 €",Dia
Paté,La piara Tapa Negra,lata,3 x 75 g,"3,25 €",Dia
Paté,La piara Tapa Negra,lata,225 g,"3,49 €",Dia
Paté de pato superior,Martiko blister,blister,75 g,"1,99 €",Dia
Paté de jamón,Nuestra Alacena de Dia,frasco,110 g,"1,49 €",Dia
Paté de pollo,Nuestra Alacena de Dia,frasco,110 g,"1,49 €",Dia
Paté olivada,Vegedia,frasco,110 g,"1,49 €",Dia
Paté de cerdo a las finas hierbas 2 unidades,La cuina blister,blister,100 g,"1,29 €",Dia
Paté de cerdo a la pimienta 2 unidades,La cuina blister,blister,100 g,"1,29 €",Dia
Surtido de patés,Iberitos,lata,3 x 80 g,"2,95 €",Dia
Paté de remolacha y rábano picante,Carlota organic,frasco,180 g,"2,95 €",Dia
Paté de berenjena y semillas de girasol,Carlota organic,frasco,180 g,"2,95 €",Dia
"Paté de papaya, manzana y curry",Carlota organic,frasco,180 g,"2,95 €",Dia
Verduras braseadas,Vegedia,frasco,110 g,"1,49 €",Dia
Bloc paté de pato,Sivore,lata,150 g,"3,49 €",Dia
Paté con pedro ximénez,La piara,frasco,130 g,"2,19 €",Dia
Paté ibérico al oporto,Gourmet cazorla,frasco,110 g,"1,89 €",Dia
Paté de ciervo al pedro ximénez,Gourmet cazorla,frasco,110 g,"1,89 €",Dia
Paté de perdiz,Gourmet cazorla,frasco,110 g,"1,89 €",Dia
Bloque de hígado de pato,Martiko,sobre,80 g,"5,99 €",Dia
Crema de pollo natural,La piara,lata,2 x 75 g,"3,99 €",Dia
Crema de atún,La piara,frasco,180 g,"3,99 €",Dia
Paté de atún,La piara,lata,150 g,"3,95 €",Dia
Paté tapa negra ibérico,La piara Tapa Negra,lata,2 x 73 g,"3,99 €",Dia
Paté picante,La piara,lata,2 x 73 g,"3,99 €",Dia
Paté menos grasa,La piara Tapa Negra,lata,2 x 73 g,"3,99 €",Dia
