producto,marca,formato,cantidad,precio,supermercado
Fruta + leche tropical,Hacendado,Brick,1 L,"0,95 €",Mercadona
Fruta + leche tropical,Hacendado,Biberón,3 mini bricks x 330 ml,"1,00 €",Mercadona
Fruta + leche tropical,Hacendado,Biberón,6 mini bricks x 200 ml,"1,20 €",Mercadona
Fruta + leche Mediterráneo,Hacendado,Brick,1 L,"0,95 €",Mercadona
Fruta + leche Mediterráneo,Hacendado,Biberón,3 mini bricks x 330 ml,"1,00 €",Mercadona
Fruta + leche Mediterráneo,Hacendado,Biberón,6 mini bricks x 200 ml,"1,20 €",Mercadona
Fruta + leche tropical Bifrutas,Hacendado,Biberón,6 mini bricks x 200 ml,"2,39 €",Mercadona
Fruta + leche tropical Bifrutas,Hacendado,Biberón,3 mini bricks x 330 ml,"2,15 €",Mercadona
Fruta + leche Caribe  sin azúcares añadidos y zero materia grasa,Don Simón,Biberón,6 mini bricks x 200 ml,"1,75 €",Mercadona
Fruta + leche piña y coco,Hacendado,Biberón,6 mini bricks x 200 ml,"1,25 €",Mercadona
Fruta + leche Caribe  sin azúcares añadidos,Hacendado,Biberón,6 mini bricks x 200 ml,"1,20 €",Mercadona
Bebida tropical  sin azúcares añadidos,Hacendado,Brick,1 L,"0,70 €",Mercadona
"Bebida de zumo de naranja, mango y zanahoria La Verja sin azúcares añadidos",Hacendado,Botella,"1,5 L","1,80 €",Mercadona
Bebida 5 frutas  sin azúcares añadidos,Hacendado,Biberón,6 mini bricks x 200 ml,"1,70 €",Mercadona
Bebida de arándanos y frutas rojas  sin azúcares añadidos,Hacendado,Brick,1 L,"1,65 €",Mercadona
Bebida de frutas rojas antioxidante  sin azúcares añadidos,Hacendado,Brick,1 L,"1,65 €",Mercadona
Bebida multivitaminas  sin azúcares añadidos,Hacendado,Brick,1 L,"1,00 €",Mercadona
Bebida Bahamas,Hacendado,Botella,2 L,"1,25 €",Mercadona
"Smoothie fresa, plátano y manzana",Hacendado,Botella,250 ml,"1,50 €",Mercadona
Smoothie mango y naranja,Hacendado,Botella,250 ml,"1,50 €",Mercadona
"Zumo de melón, mango y piña  con puré de fruta",Hacendado,Botella,250 ml,"1,50 €",Mercadona
