producto,marca,formato,cantidad,precio,supermercado
Garbanzos extra,Vegecampo de Dia,bolsa,1 Kg,"2,15 €",Dia
Garbanzo pedrosillano,Vegecampo de Dia,bolsa,1 Kg,"1,95 €",Dia
Garbanzos cocidos extra,Vegecampo de Dia,frasco,400 g,"0,85 €",Dia
Garbanzos cocidos extra,Vegecampo de Dia,frasco,210 g,"0,70 €",Dia
Garbanzo cocido pedrosillano,Vegecampo de Dia,frasco,400 g,"1,05 €",Dia
Hummus clásico,Al Punto Dia,tarrina,220 g,"1,01 €",Dia
Garbanzos cocidos bajo contenido en sal,Vegecampo de Dia,frasco,400 g,"0,99 €",Dia
Garbanzos cocidos,Luengo,frasco,400 g,"1,30 €",Dia
Garbanzos,Luengo,bolsa,1 Kg,"3,79 €",Dia
Garbanzos con verduras cocidas,Luengo,frasco,400 g,"1,45 €",Dia
Garbanzo cocido,La Asturiana,frasco,400 g,"1,70 €",Dia
Garbanzo cocido ecológico,Luengo,frasco,400 g,"1,99 €",Dia
Garbanzo pedrosillano,Luengo,bolsa,1 Kg,"3,35 €",Dia
Garbanzos cocidos,La Asturiana,frasco,210 g,"1,20 €",Dia
Garbanzos cocidos sin sal,La Asturiana,frasco,400 g,"1,75 €",Dia
Garbanzo de escacena cocido,Luengo,frasco,400 g,"1,45 €",Dia
Ensalada de garbanzos,Gvtarra,frasco,345 g,"3,05 €",Dia
