producto,marca,formato,cantidad,precio,supermercado
Gelatina sabor fresa,Hacendado,Pack,6 ud. x 100 g,"1,00 €",Mercadona
Gelatina 0% azúcar sabor fresa,Hacendado,Pack,6 ud. x 100 g,"1,00 €",Mercadona
Gelatina sabor a frutos silvestres +Proteínas  10 g proteínas 0% azúcar,Hacendado,Pack,4 ud. x 100 g,"1,55 €",Mercadona
"Gelatina 0% azúcar sabores fresa, mandarina y limón",Hacendado,Pack,6 ud. x 100 g,"1,00 €",Mercadona
"Gelatina sabores mango, maracuyá y piña",Hacendado,Pack,6 ud. x 100 g,"1,00 €",Mercadona
Copa crema de chocolate y nata,Hacendado,Pack,4 ud. x 115 g,"1,30 €",Mercadona
Arroz con leche,Hacendado,Pack,4 ud. x 130 g,"1,40 €",Mercadona
Mousse de chocolate,Hacendado,Pack,"4 ud. x 62,5 g","1,05 €",Mercadona
Tiramisú,Hacendado,Pack,2 ud. x 90 g,"1,30 €",Mercadona
"Yogur azucarado YogoMix  variado de copos maíz, bolitas y disquitos chocolateados",Hacendado,Pack,6 ud. x 150 g,"3,05 €",Mercadona
Yogur azucarado YogoMix Bolitas  con bolitas chocolateadas,Hacendado,Pack,2 ud. x 150 g,"1,20 €",Mercadona
Panna Cotta con caramelo,Hacendado,Pack,4 ud. x 100 g,"1,15 €",Mercadona
Cuajada,Hacendado,Pack,4 ud. x 125 g,"1,20 €",Mercadona
Cheesecake con arándanos,Hacendado,Pack,2 ud. x 95 g,"1,65 €",Mercadona
Tarta de queso,Hacendado,Tarrina,180 g,"1,80 €",Mercadona
Coulant de chocolate,Hacendado,Caja,2 ud. (180 g),"2,00 €",Mercadona
Crema catalana,Hacendado,Pack,4 ud. x 100 g,"2,60 €",Mercadona
Arroz con leche,Hacendado,Tarrina,450 g,"1,50 €",Mercadona
Tocino de cielo,Hacendado,Pack,2 ud. x 100 g,"1,50 €",Mercadona
Mousse sabor chocolate +Proteínas  20 g proteínas,Hacendado,Bote,200 g,"1,30 €",Mercadona
"Natillas con chocolate +Proteínas  1,3 g m.g 10 g proteínas",Hacendado,Pack,4 ud. x 120 g,"1,75 €",Mercadona
Natillas sabor vainilla +Proteínas  12 g proteínas,Hacendado,Pack,4 ud. x 120 g,"1,75 €",Mercadona
Pudding sabor caramelo +Proteínas  12 g proteínas,Hacendado,Pack,4 ud. x 120 g,"1,90 €",Mercadona
Yogur azucarado YogoMix Discos  con disquitos chocolateados,Hacendado,Pack,2 ud. x 150 g,"1,20 €",Mercadona
Copa de chocolate y nata +Proteínas  15 g proteínas,Hacendado,Bote,150 g,"1,15 €",Mercadona
